Id	Desc	Trigger	EffectType	Args	SourceType	SourceCount	TargetType	TargetCount
204031	50 药物、 50 食物		4001	[3, 50, 4, 50]				
204081	1000 木材、1000 钢材		4001	[1, 1000, 2, 1000]				
20501	第五关初始化1：住宅*1	1	1007	[206, 1, 1]				
20502	第五关初始化2：50药物、50食物	1	1001				[3, 4]	[50, 50]
20503	第五关初始化3：12个人，100属性值	1	1005	[12, 100, 100, 100]				
20504	第五关初始化4：小废墟*2	1	1007	[203, 2, 1]				
20505	第五关初始化5：中废墟*1	1	1007	[204, 1, 1]				
2050114	第五关主城：获得5食物		1001				[4]	[5]
2050118	第五关主城：10药物、10食物		1001				[3, 4]	[10, 10]
2050203	第五关探索：获得3位岛民，80属性值		4002	[3, 80, 80, 80]				
2050204	第五关探索：获得50 药物、 50 食物、180木材、180钢材		4001	[1, 180, 2, 180, 3, 50, 4, 50]				
2050207	第五关探索：获得60 药物、 60 食物		4001	[3, 60, 4, 60]				
2050305	第五关探索：获得100木材，100钢材，10药物，10食物		4001	[1, 100, 2, 100, 3, 10, 4, 10]				
2050307	第五关探索：获得100木材，100钢材，20 药物、 20 食物		4001	[1, 100, 2, 100, 3, 20, 4, 20]				
2050309	第五关探索：获得100木材，100钢材，30 药物、 30 食物		4001	[1, 100, 2, 100, 3, 30, 4, 30]				
2050405	第五关探索：获得10 药物、 10 食物		4001	[3, 10, 4, 10]				
2050411	第五关主城：获得30 药物、 30 食物		1001				[3, 4]	[30, 30]
2050413	第五关主城：失去5个药物、5个食物		1001		[3, 4]	[5, 5]		
2050415	第五关主城：健康值下降 10		1002	[-10, 0, 0]				
2050501	第五关探索：获得25 药物、 25 食物		4001	[3, 25, 4, 25]				
2050601	第五关探索：获得85 药物、 85 食物		4001	[3, 85, 4, 85]				
2050602	第五关探索：获得5位岛民，80属性值		4002	[5, 80, 80, 80]				
2050705	第五关探索：获得20 药物、 20 食物		4001	[3, 20, 4, 20]				
2050711	第五关主城：获得10 药物		1001				[3]	[10]
2050903	第五关探索：获得50 药物、 50 食物		4001	[3, 50, 4, 50]				
2051005	第五关探索：获得10 药物、 10 食物		4001	[3, 10, 4, 10]				
2051105	第五关探索：获得10 药物、 10 食物		4001	[3, 10, 4, 10]				
2051111	第五关探索：获得5 食物		1001				[4]	[5]
2051113	第五关主城：精神值下降 10		1002	[0, 0, -10]				
2051115	第五关主城：健康值下降 10		1002	[-10, 0, 0]				
2051204	第五关探索：获得20 药物、 20 食物		4001	[3, 20, 4, 20]				
2051206	第五关探索：获得5 药物、 5 食物		4001	[3, 5, 4, 5]				
2051303	第五关探索：获得10 药物、 10 食物		4001	[3, 10, 4, 10]				
2051404	第五关探索：获得30 药物、 30 食物		4001	[3, 30, 4, 30]				
2051406	第五关探索：获得30 药物、 30 食物		4001	[3, 30, 4, 30]				
2051504	第五关探索：获得10 药物、 10 食物		4001	[3, 10, 4, 10]				
2051617	第五关主城：获得10 药物、 10 食物		1001				[3, 4]	[10, 10]
2051619	第五关主城：精神值下降 5		1002	[0, 0, -5]				
2051621	第五关主城：健康值下降 5		1002	[-5, 0, 0]				
2051912	第五关结局事件C：主城获得 1 幸存者，100属性值		1005	[1, 100, 100, 100]				
2052005	第五关红潮事件1：主城失去5个药物		1001		[3, 4]	[5, 5]		
2052008	第五关红潮事件2：主城1个居民死亡		1013	[1, 1]				
2052010	第五关彩虹事件1：主城精神值恢复20		1002	[0, 0, 20]				
2050600	第五关天气阶段二：转暴雪【事件6】		5001	[50021]				
2051000	第五关天气阶段三：暴雪+红潮【事件10】		5001	[50031, 50032, 50033, 50034]				
2051700	第五关天气阶段四：彩虹【事件17】		5001	[50041, 50042, 50043]				
2052012	第五关天气阶段五：触发晴天天气		5001	[50051]				
2051701	第五关发生【事件17】后第5天触发晴天事件		1012	[2052011, 1, 5]				
205041	地点 4 解锁：完成地点 6 探索事件		1008	[20504]				
205071	地点 7 解锁：完成地点 10 探索事件		1008	[20507]				
205111	地点 11 解锁：完成地点 15 探索事件		1008	[20511]				
205161	地点 16 解锁：完成地点 17 探索事件		1008	[20516]				
20601	第六关初始化：500木材	1	1001				[1]	[280]
20602	第六关初始化：500钢材	1	1001				[2]	[280]
20603	第六关初始化：60血清	1	1001				[3]	[50]
20604	第六关初始化：60食物	1	1001				[4]	[50]
20605	"""第六关初始化：15个人，80,80,100属性值"""	1	1005	[15, 80, 80, 100]				
20606	第六关初始化：拥有 1 座小废墟	1	1007	[203, 1, 1]				
20607	第六关初始化：拥有 2 座中废墟	1	1007	[204, 2, 1]				
20608	第六关初始化：拥有 2 座大废墟	1	1007	[205, 2, 1]				
206030	第六关 6 ~ 10 天天气		5001	[602]				
206050	第六关 11~15 天天气		5001	[603]				
206070	第六关 15~20 天天气		5001	[604]				
206090	第六关【地图更新】事件结果：解锁地点【废弃工业园】		1008	[20627]				
20615	获得 5 个 90 属性难民		1005	[10, 90, 90, 80]				
20616	获得 25 药物、 25 食物 、120 木材、 120 钢材		1001				[3, 4, 1, 2]	[50, 50, 120, 120]
20617	获得 5 个 80 属性难民		1005	[5, 80, 80, 80]				
20618	获得 40 药物、 40 食物、 100 木材、 100 钢材		1001				[3, 4, 1, 2]	[40, 40, 100, 100]
20619	获得 5 个 60 属性难民		1005	[5, 60, 60, 80]				
20620	获得 50 药物、 50 食物		1001				[3, 4]	[50, 50]
20621	获得 4 个 80 属性难民		1005	[4, 80, 80, 80]				
20622	获得 120 药物、 120 食物		1001				[3, 4]	[120, 120]
2060101	获得 120 钢材、 120 木材、 10 食物、 10药物		4001	[1, 120, 2, 120, 3, 10, 4, 10]				
2060102	获得 3 幸存者		4002	[3, 80, 80, 80]				
2060201	获得 100 钢材、 100 木材		4001	[1, 100, 2, 100]				
2060301	获得 200 钢材、 200 木材		4001	[1, 200, 2, 200]				
2060302	获得 4 幸存者		4002	[4, 80, 80, 80]				
2060401	解锁地点 11		1008	[20611]				
2060612	50 药物、 50 食物		4001	[3, 50, 4, 50]				
2060813	解锁地点信号站		1008	[20609]				
2061311	解锁地点 5		1008	[20605]				
2061312	天气改变：红潮出现		5001	[607]				
2061401	50 药物、 50 食物		4001	[3, 50, 4, 50]				
2061501	获得  100 木材、 100 钢材、 30 药物、 30 食物		4001	[1, 100, 2, 100, 3, 30, 4, 30]				
2061502	获得 10 药物、 10 食物、 50 木材、 50 钢材		4001	[1, 50, 2, 50, 3, 10, 4, 10]				
2061601	获得 20 药物、 20食物		4001	[3, 20, 4, 20]				
2061602	解锁地点 3		1008	[20603]				
2061701	获得 25 药物		4001	[3, 50]				
2061801	200 木材、 200 钢材、 40 药物、40 食物		4001	[1, 200, 2, 200, 3, 40, 4, 40]				
2061901	获得 30 药物、 30 食物		4001	[3, 30, 4, 30]				
2062001	获得 30 药物、 30 食物		4001	[3, 30, 4, 30]				
2062101	获得 200 钢材、 200 木材、 60 药物、60 食物		4001	[1, 200, 2, 200, 3, 60, 4, 60]				
2062201	获得 40 药物、 40 食物		4001	[3, 40, 4, 40]				
2062202	解锁地点 19		1008	[20619]				
2062301	获得 30 药物、 30 食物		4001	[3, 30, 4, 30]				
2062401	获得 15 药物、10 食物		4001	[3, 15, 4, 10]				
2062501	获得 10 药物、 10 食物		4001	[3, 30, 4, 30]				
2062601	获得 50 药物、 50 食物		4001	[3, 50, 4, 50]				
2062701	获得 220 钢材、 220 木材		4001	[1, 220, 2, 200]				
2062702	获得 5 幸存者		4002	[5, 80, 80, 80]				
2062801	获得 40 食物、 40 药物、 150 木材、 150 钢材		4001	[1, 150, 2, 150, 3, 40, 4, 40]				
2062802	解锁地点 29		1008	[20629]				
2062901	获得 40 食物、 40 药物、 100木材、 100 钢材		4001	[1, 100, 2, 100, 3, 40, 4, 40]				
2062902	获得 2 幸存者		4002	[2, 80, 80, 80]				
2063001	获得 40 食物、 40 药物、 100木材、 100 钢材		4001	[1, 100, 2, 100, 3, 40, 4, 40]				
2063002	解锁地点 17		1008	[20617]				
2063003	解锁地点 18		1008	[20618]				
2063004	解锁地点 21		1008	[20621]				
2063005	获得 60 食物、 60 药物、 100木材、 100 钢材		4001	[1, 100, 2, 100, 3, 60, 4, 60]				
2063006	获得 2 幸存者		4002	[2, 80, 80, 80]				
2061101	第二天触发【卫生中心的孩子们】		1012	[20620, 1, 1]				
2061102	获得 50 药物、 50 食物		4001	[3, 50, 4, 50]				
