Id	Trigger	TriggerParams	Type	TypeParams	PerformanceOrder	Desc	ShowDesc	Cv
1000080	45		12	[5, 2]	400	挑战2-1主怪用Token【感染】：阵亡后对玩家施加2层【脆弱】	<color=#FFFFFF>【感染】</color>效果触发	
1000090	45		12	[5, 2]	400	挑战2-1小怪1用Token【感染】：阵亡后对玩家施加2层【脆弱】	<color=#FFFFFF>【感染】</color>效果触发	
1000100	45		12	[5, 2]	400	挑战2-1小怪2用Token【感染】：阵亡后对玩家施加2层【脆弱】	<color=#FFFFFF>【感染】</color>效果触发	
1000110	5	[1, 10]	33	[0, 0, 1, 0, 0, 114, 0, 0, 0]	400	怪物用Token【殉道】：对玩家造成伤害后，若伤害大于10，将1张【苦刑】114（【苦刑】：白色牌， 红桃K，效果：失去后移出游戏，抽到此牌时，受到3点伤害；回复1点行动点，抽1张牌）加入玩家抽牌堆；		
1000120	2	[2, 2, 120]	26	[20, 0]	400	挑战2-4怪物用Token【更多！】：怪物行动开始时，苦刑之女血量少于120，则获得20护甲。	<color=#FFFFFF>【更多！】</color>效果触发	
1000121	43	[1000120]	11	[11, -12]	400	挑战2-4怪物用Token【更多！】：怪物行动开始时，苦刑之女血量少于180，移除【苦旅Ⅲ】。		
1000122	43	[1000121]	11	[12, 12]	400	挑战2-4怪物用Token【更多！】：怪物行动开始时，苦刑之女血量少于180，获得【苦旅Ⅳ】。		
1000123	43	[1000122]	11	[25, -13]	400	挑战2-4怪物用Token【更多！】：怪物行动开始时，苦刑之女血量少于180，移除【苦旅Ⅲ】计数。		
1000124	43	[1000123]	11	[26, 13]	400	挑战2-4怪物用Token【更多！】：怪物行动开始时，苦刑之女血量少于180，获得【苦旅Ⅳ】计数。		
1000125	43	[1000124]	11	[17, -1]	400	挑战2-4怪物用Token【更多！】：移除【更多！】		
1000130	23	[4, 116, 0]	30	[1, 2, 1, 0, 0, 116, 0, 0, -1]	100	衍生牌冗余效果，打出后移出游戏		
1000131	23	[4, 116, 0]	31	[0, 1, 1, 0, 0, 0]	100	衍生牌冗余效果，抽1张牌	使用了衍生牌<color=#FFFFFF>冗余</color>	
1000140	2	[1, 5, 1]	43	[98, 1, 5]	400	怪物用Token【安保检查Ⅰ】：怪物行动开始时，若玩家手中有点数为1的牌，召唤1个【自律警卫】。	<color=#FFFFFF>【安保检查Ⅰ】</color>效果触发	
1000150	2	[1, 5, 2]	43	[98, 1, 5]	400	怪物用Token【安保检查Ⅱ】：怪物行动开始时，若玩家手中有点数为1或2的牌，召唤1个【自律警卫】。	<color=#FFFFFF>【安保检查Ⅱ】</color>效果触发	
1000160	2	[1, 2, 5]	43	[98, 1, 5]	400	怪物用Token【安保检查Ⅲ】：怪物行动开始时，若玩家手中有红球牌，召唤1个【自律警卫】。	<color=#FFFFFF>【安保检查Ⅲ】</color>效果触发	
1000170	25	[1]	22	[-5000, 0]	400	怪物用Token【飞行】：使受到的直接伤害减少50%。		
1000171	6	[0, 0, 0, 2, 0]	11	[21, -1]	400	怪物用Token【飞行】：受到伤害后减少1层		
1000180	44		46	[1]	400	怪物用Token【坠地】：怪物行动时，跳过行动，然后触发1000181		
1000181	43	[1000180]	11	[21, 2]	400	怪物用Token【坠地】：生效后，给自身2层飞行，然后触发1000182		
1000182	43	[1000181]	11	[27, 3]	400	怪物用Token【坠地】：生效后，给自身3层飞行计数，然后触发1000182		
1000183	43	[1000182]	11	[22, -1]	400	怪物用Token【坠地】：生效后，移除	<color=#FFFFFF>【坠地】</color>效果触发，跳过怪物行动	
1000190	30	[1]	11	[23, -1]	400	怪物用Token【苦旅Ⅰ】计数Token：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000191	10	[3, 23, 1]	11	[23, 13]	400	怪物用Token【苦旅Ⅰ】计数Token：减少至1层时重置为13层并触发效果1000192		
1000192	43	[1000191]	11	[1, 20]	400	怪物用Token【苦旅Ⅰ】计数Token：使怪物获得20层【刚体】并触发效果1000193	<color=#FFFFFF>【苦旅Ⅰ】</color>效果触发	
1000193	43	[1000192]	11	[9, 12]	400	怪物用Token【苦旅Ⅰ】计数Token：重置【苦旅Ⅰ】层数		
1000194	6	[0, 4, 12, 2, 0]	11	[23, 13]	400	怪物用Token【苦旅Ⅰ】计数Token：受到单次大于等于12的伤害时，重置为13层。		
1000200	30	[1]	11	[24, -1]	400	怪物用Token【苦旅Ⅱ】计数Token：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000201	10	[3, 24, 1]	11	[24, 13]	400	怪物用Token【苦旅Ⅱ】计数Token：减少至1层时重置为13层并触发效果1000202		
1000202	43	[1000201]	11	[6, 1]	400	怪物用Token【苦旅Ⅱ】计数Token：使怪物获得1层【暴走】并触发效果1000193	<color=#FFFFFF>【苦旅Ⅱ】</color>效果触发	
1000203	43	[1000202]	11	[10, 12]	400	怪物用Token【苦旅Ⅱ】计数Token：重置【苦旅Ⅱ】层数		
1000204	6	[0, 4, 12, 2, 0]	11	[24, 13]	400	怪物用Token【苦旅Ⅱ】计数Token：受到单次大于等于12的伤害时，重置为13层。		
1000210	30	[1]	11	[25, -1]	400	怪物用Token【苦旅Ⅲ】计数Token：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000211	10	[3, 25, 1]	11	[25, 13]	400	怪物用Token【苦旅Ⅲ】计数Token：减少至1层时重置为13层并触发效果1000212		
1000212	43	[1000211]	11	[1, 20]	400	怪物用Token【苦旅Ⅲ】计数Token：使怪物获得20层【刚体】并触发效果1000213	<color=#FFFFFF>【苦旅Ⅲ】</color>效果触发	
1000213	43	[1000212]	11	[11, 12]	400	怪物用Token【苦旅Ⅲ】计数Token：重置【苦旅Ⅲ】层数并触发效果1000214		
1000214	43	[1000213]	33	[0, 0, 2, 0, 0, 115, 0, 0, 0]	400	怪物用Token【苦旅Ⅲ】计数Token：将两张苦刑115随机加入玩家抽牌堆		
1000215	6	[0, 4, 24, 2, 0]	11	[25, 13]	400	怪物用Token【苦旅Ⅲ】计数Token：受到单次大于等于24的伤害时，重置为13层。		
1000220	30	[1]	11	[26, -1]	400	怪物用Token【苦旅Ⅳ】计数Token：玩家每次消耗行动点（直接结束回合不算在内）减少1层		
1000221	10	[3, 26, 1]	11	[26, 13]	400	怪物用Token【苦旅Ⅳ】计数Token：减少至1层时重置为13层并触发效果1000222		
1000222	43	[1000221]	11	[6, 1]	400	怪物用Token【苦旅Ⅳ】计数Token：使怪物获得1层【暴走】并触发效果1000223	<color=#FFFFFF>【苦旅Ⅳ】</color>效果触发	
1000223	43	[1000222]	11	[12, 12]	400	怪物用Token【苦旅Ⅳ】计数Token：重置【苦旅Ⅳ】层数并触发效果1000223		
1000224	43	[1000223]	33	[0, 0, 2, 0, 0, 115, 0, 0, 0]	400	怪物用Token【苦旅Ⅳ】：将两张苦刑115随机加入玩家抽牌堆		
1000225	6	[0, 4, 24, 2, 0]	11	[26, 13]	400	怪物用Token【苦旅Ⅳ】计数Token：受到单次大于等于24的伤害时，重置为13层。		
1000230	6	[0, 0, 0, 2, 0]	11	[27, -1]	400	怪物用Token【飞行】计数Token：受到伤害后减少1层		
1000231	10	[5, 27, 1]	11	[22, 1]	400	怪物用Token【飞行】计数Token：减少至1层后，获得【坠地】标记。		
1000240	40	[2, 114]	1	[3]	400	苦刑114伤害启用效果	受到<color=#FFFFFF>苦刑</color>伤害效果	
1000250	40	[2, 115]	1	[3]	400	苦刑115伤害启用效果	受到<color=#FFFFFF>苦刑</color>伤害效果	
1000260	45		41	[1]	400	无尽关怪物通用Token：被击败后给指挥官回1行动点	<color=#FFFFFF>【无尽馈赠】</color>效果触发	
1000261	45		31	[0, 1, 3, 0, 0, 0]	400	无尽关怪物通用Token：被击败后给指挥官抽3张任意牌		
1000270	25	[3]	21	[2, 0]	400	怪物通用Token【无尽怒火】：造成伤害时，伤害值+2。		
1000280	7	[0, 0, 2]	12	[41, 1]	100	意识海战神触发判断：无尽关外的关卡回合开始时玩家重启次数大于等于2次就给玩家上一个伤害+999的buff。		
1000290	25	[1]	21	[999, 0]	200	意识海战神Token效果：无尽关外的关卡回合开始时玩家重启次数大于等于2次就给玩家上一个伤害+999的buff。		
1010001	2	[0, 0, 0]	2	[10]	100	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁·大型> </color>行动开始	
1020001	2	[0, 0, 0]	26	[5, 0]	100	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
1030001	2	[0, 0, 0]	26	[5, 0]	100	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
2010001	2	[0, 0, 0]	2	[5]	200	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁> </color>行动开始	
2020001	2	[0, 0, 0]	26	[5, 0]	200	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁> </color>行动开始	
3010001	2	[0, 0, 0]	2	[10]	100	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁·大型> </color>行动开始	
3020001	2	[0, 0, 0]	2	[5]	100	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁·大型> </color>行动开始	
3030001	2	[0, 0, 0]	26	[5, 0]	100	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
4010001	2	[0, 0, 0]	2	[10]	200	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁> </color>行动开始	
5010001	2	[0, 0, 0]	2	[10]	100	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁·大型> </color>行动开始	
5020001	2	[0, 0, 0]	2	[5]	100	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁·大型> </color>行动开始	
5030001	2	[0, 0, 0]	26	[5, 0]	100	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
6010001	2	[0, 0, 0]	2	[10]	200	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁> </color>行动开始	
6020001	2	[0, 0, 0]	26	[5, 0]	200	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁> </color>行动开始	
7010001	2	[0, 0, 0]	2	[8]	100	怪物行为：对指挥官攻击8	<color=#FFFFFF><园丁·大型> </color>行动开始	
8010001	2	[0, 0, 0]	2	[4]	200	怪物行为：对指挥官攻击4	<color=#FFFFFF><园丁> </color>行动开始	
9010001	2	[0, 0, 0]	2	[4]	300	怪物行为：对指挥官攻击4	<color=#FFFFFF><园丁> </color>行动开始	
10010001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><修理机工·大型> </color>行动开始	
10020001	2	[0, 0, 0]	9	[10, 2, 0]	100	怪物行为：对所有怪物回复10生命值	<color=#FFFFFF><修理机工·大型> </color>行动开始	
11010001	2	[0, 0, 0]	2	[10]	200	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁> </color>行动开始	
12010001	2	[0, 0, 0]	2	[10]	200	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁> </color>行动开始	
13010001	2	[0, 0, 0]	26	[20, 0]	300	怪物行为：自身增加20护甲	<color=#FFFFFF><园丁> </color>行动开始	
13020001	2	[0, 0, 0]	2	[5]	300	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁> </color>行动开始	
13030001	2	[0, 0, 0]	26	[5, 0]	300	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁> </color>行动开始	
14010001	2	[0, 0, 0]	26	[20, 0]	400	怪物行为：自身增加20护甲	<color=#FFFFFF><园丁> </color>行动开始	
14020001	2	[0, 0, 0]	2	[5]	400	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁> </color>行动开始	
14030001	2	[0, 0, 0]	26	[5, 0]	400	怪物行为：自身增加5护甲	<color=#FFFFFF><园丁> </color>行动开始	
15010001	2	[0, 0, 0]	2	[10]	100	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁·大型> </color>行动开始	
15020001	2	[0, 0, 0]	26	[20, 0]	100	怪物行为：自身增加20护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
16010001	2	[0, 0, 0]	9	[8, 2, 0]	200	怪物行为：对所有怪物回复8生命值	<color=#FFFFFF><修理机工> </color>行动开始	
16020001	2	[0, 0, 0]	2	[6]	200	怪物行为：对指挥官攻击6	<color=#FFFFFF><修理机工> </color>行动开始	
17010001	2	[0, 0, 0]	9	[8, 2, 0]	300	怪物行为：对所有怪物回复8生命值	<color=#FFFFFF><修理机工> </color>行动开始	
17020001	2	[0, 0, 0]	2	[6]	400	怪物行为：对指挥官攻击6	<color=#FFFFFF><修理机工> </color>行动开始	
18010001	2	[0, 0, 0]	2	[10]	100	怪物行为：对指挥官攻击10	<color=#FFFFFF><园丁·大型> </color>行动开始	
18020001	2	[0, 0, 0]	26	[10, 0]	100	怪物行为：自身增加10护甲	<color=#FFFFFF><园丁·大型> </color>行动开始	
18030001	2	[0, 0, 0]	2	[5]	100	怪物行为：对指挥官攻击5	<color=#FFFFFF><园丁·大型> </color>行动开始	
19010001	2	[0, 0, 0]	11	[1, 20]	200	怪物行为：对自身增加20层【刚体】Token	<color=#FFFFFF><守护者> </color>行动开始	
19010002	2	[0, 0, 0]	28	[10, 6, 0]	201	怪物行为：对主体怪物增加10护甲		
19020001	2	[0, 0, 0]	2	[6]	200	怪物行为：对指挥官攻击6	<color=#FFFFFF><守护者> </color>行动开始	
20010001	2	[0, 0, 0]	11	[1, 10]	100	怪物行为：对自身增加10层【刚体】Token	<color=#FFFFFF><守护者·大型> </color>行动开始	
20010002	2	[0, 0, 0]	28	[10, 7, 0]	101	怪物行为：对随机怪物增加护甲10（优先其他小怪）		
20020001	2	[0, 0, 0]	2	[6]	100	怪物行为：对指挥官攻击6	<color=#FFFFFF><守护者·大型> </color>行动开始	
21010001	2	[0, 0, 0]	9	[8, 2, 0]	200	怪物行为：对所有怪物回复8生命值	<color=#FFFFFF><修理机工> </color>行动开始	
21020001	2	[0, 0, 0]	2	[2]	200	怪物行为：对指挥官攻击2	<color=#FFFFFF><修理机工> </color>行动开始	
22010001	2	[0, 0, 0]	9	[8, 2, 0]	300	怪物行为：对所有怪物回复8生命值	<color=#FFFFFF><修理机工> </color>行动开始	
22020001	2	[0, 0, 0]	2	[2]	300	怪物行为：对指挥官攻击2	<color=#FFFFFF><修理机工> </color>行动开始	
23010001	2	[0, 0, 0]	2	[2]	400	怪物行为：对指挥官攻击2	<color=#FFFFFF><园丁> </color>行动开始	
23020001	2	[0, 0, 0]	26	[10, 0]	400	怪物行为：自身增加10护甲	<color=#FFFFFF><园丁> </color>行动开始	
24010001	2	[0, 0, 0]	2	[2]	500	怪物行为：对指挥官攻击2	<color=#FFFFFF><园丁> </color>行动开始	
24020001	2	[0, 0, 0]	26	[10, 0]	500	怪物行为：自身增加10护甲	<color=#FFFFFF><园丁> </color>行动开始	
25010001	2	[0, 0, 0]	2	[6]	100	怪物行为：对指挥官攻击6	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
25020001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
25020002	2	[0, 0, 0]	12	[5, 1]	101	怪物行为：对指挥官增加1层【脆弱】		
25030001	2	[0, 0, 0]	43	[26, 1, 5]	100	怪物行为：召唤地面监视器·中型1	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
25030002	2	[0, 0, 0]	43	[27, 1, 5]	101	怪物行为：召唤地面监视器·中型2		
25040001	2	[0, 0, 0]	2	[6]	100	怪物行为：对指挥官攻击6	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
25050001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
25050002	2	[0, 0, 0]	12	[5, 1]	101	怪物行为：对指挥官增加1层【脆弱】		
26010001	2	[0, 0, 0]	2	[3]	200	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
26020001	2	[0, 0, 0]	2	[2]	200	怪物行为：对指挥官攻击2	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
26020002	2	[0, 0, 0]	12	[5, 1]	201	怪物行为：对指挥官增加1层【脆弱】		
26030001	2	[0, 0, 0]	43	[28, 1, 5]	200	怪物行为：召唤地面监视器·微型1	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
26040001	2	[0, 0, 0]	2	[3]	200	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
26050001	2	[0, 0, 0]	2	[2]	200	怪物行为：对指挥官攻击2	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
26050002	2	[0, 0, 0]	12	[5, 1]	201	怪物行为：对指挥官增加1层【脆弱】		
27010001	2	[0, 0, 0]	2	[3]	300	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
27020001	2	[0, 0, 0]	2	[2]	300	怪物行为：对指挥官攻击2	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
27020002	2	[0, 0, 0]	12	[5, 1]	301	怪物行为：对指挥官增加1层【脆弱】		
27030001	2	[0, 0, 0]	43	[29, 1, 5]	300	怪物行为：召唤地面监视器·微型2	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
27040001	2	[0, 0, 0]	2	[3]	300	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
27050001	2	[0, 0, 0]	2	[2]	300	怪物行为：对指挥官攻击2	<color=#FFFFFF><地面监视器·中型> </color>行动开始	
27050002	2	[0, 0, 0]	12	[5, 1]	301	怪物行为：对指挥官增加1层【脆弱】		
28010001	2	[0, 0, 0]	2	[1]	400	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
28020001	2	[0, 0, 0]	12	[5, 1]	400	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
29010001	2	[0, 0, 0]	2	[1]	500	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
29020001	2	[0, 0, 0]	12	[5, 1]	500	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
30010001	2	[0, 0, 0]	28	[4, 7, 0]	100	怪物行为：对随机怪物增加护甲4（优先其他小怪）	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30010002	2	[0, 0, 0]	28	[4, 7, 0]	101	怪物行为：对随机怪物增加护甲4（优先其他小怪）		
30020001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30030001	2	[0, 0, 0]	28	[4, 7, 0]	100	怪物行为：对随机怪物增加护甲4（优先其他小怪）	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30030002	2	[0, 0, 0]	28	[4, 7, 0]	101	怪物行为：对随机怪物增加护甲4（优先其他小怪）		
30040001	2	[0, 0, 0]	28	[4, 7, 0]	100	怪物行为：对随机怪物增加护甲4（优先其他小怪）	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30040002	2	[0, 0, 0]	28	[4, 7, 0]	101	怪物行为：对随机怪物增加护甲4（优先其他小怪）		
30050001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30060001	2	[0, 0, 0]	2	[2]	100	怪物行为：对指挥官攻击2	<color=#FFFFFF><驯兽师·大型> </color>行动开始	
30060002	2	[0, 0, 0]	2	[2]	101	怪物行为：对指挥官攻击2		
30060003	2	[0, 0, 0]	2	[2]	102	怪物行为：对指挥官攻击2		
31010001	2	[0, 0, 0]	2	[1]	200	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
31020001	2	[0, 0, 0]	12	[5, 1]	200	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
31030001	2	[0, 0, 0]	2	[1]	200	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
31040001	2	[0, 0, 0]	12	[5, 1]	200	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
32010001	2	[0, 0, 0]	2	[1]	300	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
32020001	2	[0, 0, 0]	12	[5, 1]	300	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
32030001	2	[0, 0, 0]	2	[1]	300	怪物行为：对指挥官攻击1	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
32040001	2	[0, 0, 0]	12	[5, 1]	300	怪物行为：对指挥官增加1层【脆弱】	<color=#FFFFFF><地面监视器·微型> </color>行动开始	
33010001	2	[0, 0, 0]	9	[12, 2, 0]	400	怪物行为：对所有怪物回复12生命值	<color=#FFFFFF><修理机工> </color>行动开始	
33020001	2	[0, 0, 0]	2	[1]	400	怪物行为：对指挥官攻击1	<color=#FFFFFF><修理机工> </color>行动开始	
33020002	2	[0, 0, 0]	12	[7, 1]	401	怪物行为：对指挥官增加1层【虚弱】		
33030001	2	[0, 0, 0]	9	[12, 2, 0]	400	怪物行为：对所有怪物回复12生命值	<color=#FFFFFF><修理机工> </color>行动开始	
33040001	2	[0, 0, 0]	2	[1]	400	怪物行为：对指挥官攻击1	<color=#FFFFFF><修理机工> </color>行动开始	
33040002	2	[0, 0, 0]	12	[7, 1]	401	怪物行为：对指挥官增加1层【虚弱】		
33050001	2	[0, 0, 0]	12	[7, 2]	400	怪物行为：对指挥官增加2层【虚弱】	<color=#FFFFFF><修理机工> </color>行动开始	
34010001	2	[0, 0, 0]	11	[8, -1]	500	怪物行为：对自身移除1层【倒数】	<color=#FFFFFF><自爆原虫> </color>行动开始	
34010002	2	[0, 0, 0]	11	[40, -1]	601	怪物行为：对自身移除1层【倒数】计数Token		
35010001	2	[0, 0, 0]	28	[16, 7, 0]	100	怪物行为：对随机怪物增加护甲16（优先其他小怪）	<color=#FFFFFF><守护者·大型> </color>行动开始	
35020001	2	[0, 0, 0]	12	[5, 2]	100	怪物行为：对指挥官增加2层【脆弱】	<color=#FFFFFF><守护者·大型> </color>行动开始	
35030001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><守护者·大型> </color>行动开始	
35030002	2	[0, 0, 0]	28	[8, 7, 0]	101	怪物行为：对随机怪物增加护甲8（优先其他小怪）		
35040001	2	[0, 0, 0]	2	[1]	100	怪物行为：对指挥官攻击1	<color=#FFFFFF><守护者·大型> </color>行动开始	
35040002	2	[0, 0, 0]	2	[1]	101	怪物行为：对指挥官攻击1		
35040003	2	[0, 0, 0]	2	[1]	102	怪物行为：对指挥官攻击1		
35050001	2	[0, 0, 0]	28	[16, 7, 0]	100	怪物行为：对随机怪物增加护甲16（优先其他小怪）	<color=#FFFFFF><守护者·大型> </color>行动开始	
35060001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><守护者·大型> </color>行动开始	
35060002	2	[0, 0, 0]	28	[8, 7, 0]	101	怪物行为：对随机怪物增加护甲8（优先其他小怪）		
35070001	2	[0, 0, 0]	2	[1]	100	怪物行为：对指挥官攻击1	<color=#FFFFFF><守护者·大型> </color>行动开始	
35070002	2	[0, 0, 0]	2	[1]	101	怪物行为：对指挥官攻击1		
35070003	2	[0, 0, 0]	2	[1]	102	怪物行为：对指挥官攻击1		
36010001	2	[0, 0, 0]	11	[8, -1]	200	怪物行为：对自身移除1层【倒数】	<color=#FFFFFF><自爆原虫> </color>行动开始	
36010002	2	[0, 0, 0]	11	[40, -1]	601	怪物行为：对自身移除1层【倒数】计数Token		
37010001	2	[0, 0, 0]	11	[8, -1]	300	怪物行为：对自身移除1层【倒数】	<color=#FFFFFF><自爆原虫> </color>行动开始	
37010002	2	[0, 0, 0]	11	[40, -1]	601	怪物行为：对自身移除1层【倒数】计数Token		
38010001	2	[0, 0, 0]	11	[8, -1]	400	怪物行为：对自身移除1层【倒数】	<color=#FFFFFF><自爆原虫> </color>行动开始	
38010002	2	[0, 0, 0]	11	[40, -1]	601	怪物行为：对自身移除1层【倒数】计数Token		
39010001	2	[0, 0, 0]	2	[6]	100	怪物行为：对指挥官攻击6	<color=#FFFFFF><喷涂机械> </color>行动开始	
39010002	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 105]	101	怪物行为：给予玩家1张衍生黄球		
39010003	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 106]	102	怪物行为：给予玩家1张衍生黄球		
39020001	2	[0, 0, 0]	12	[7, 6]	100	怪物行为：对指挥官增加6层【虚弱】	<color=#FFFFFF><喷涂机械> </color>行动开始	
39020002	2	[0, 0, 0]	11	[2, -1]	101	怪物行为：对自身移除1层【嗜黄】		
39020003	2	[0, 0, 0]	11	[4, 1]	102	怪物行为：对自身增加1层【嗜蓝】		
39020004	2	[0, 0, 0]	11	[1, 10]	103	怪物行为：对自身增加10层【刚体】		
39030001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><喷涂机械> </color>行动开始	
39030002	2	[0, 0, 0]	2	[3]	101	怪物行为：对指挥官攻击3		
39030003	2	[0, 0, 0]	2	[3]	102	怪物行为：对指挥官攻击3		
39030004	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 109]	103	怪物行为：给予玩家1衍生蓝球		
39030005	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 110]	104	怪物行为：给予玩家1衍生蓝球		
39040001	2	[0, 0, 0]	2	[1]	100	怪物行为：对指挥官攻击1	<color=#FFFFFF><喷涂机械> </color>行动开始	
39040002	2	[0, 0, 0]	2	[1]	101	怪物行为：对指挥官攻击1		
39040003	2	[0, 0, 0]	2	[1]	102	怪物行为：对指挥官攻击1		
39040004	2	[0, 0, 0]	2	[1]	103	怪物行为：对指挥官攻击1		
39040005	2	[0, 0, 0]	2	[1]	104	怪物行为：对指挥官攻击1		
39040006	2	[0, 0, 0]	11	[4, -1]	105	怪物行为：对自身移除1层【嗜蓝】		
39040007	2	[0, 0, 0]	11	[3, 1]	106	怪物行为：对自身增加1层【嗜红】		
39040008	2	[0, 0, 0]	43	[38, 1, 5]	107	怪物行为：召唤1个自爆原虫		
39050001	2	[0, 0, 0]	26	[15, 0]	100	怪物行为：自身增加15护甲	<color=#FFFFFF><喷涂机械> </color>行动开始	
39050002	2	[0, 0, 0]	12	[5, 2]	101	怪物行为：对指挥官增加2层【脆弱】		
39050003	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 101]	102	怪物行为：给予玩家1衍生红球		
39050004	2	[0, 0, 0]	31	[4, 0, 1, 0, 0, 102]	103	怪物行为：给予玩家1衍生红球		
39060001	2	[0, 0, 0]	26	[18, 0]	100	怪物行为：自身增加18护甲	<color=#FFFFFF><喷涂机械> </color>行动开始	
39060002	2	[0, 0, 0]	11	[3, -1]	101	怪物行为：对自身移除1层【嗜红】		
39060003	2	[0, 0, 0]	11	[2, 1]	102	怪物行为：对自身增加1层【嗜黄】		
39060004	2	[0, 0, 0]	11	[6, 1]	103	怪物行为：对自身增加1层【暴走】		
40010001	2	[0, 0, 0]	2	[3]	100	怪物行为：对指挥官攻击3	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
40010002	2	[0, 0, 0]	2	[3]	101	怪物行为：对指挥官攻击3		
40010003	2	[0, 0, 0]	2	[3]	102	怪物行为：对指挥官攻击3		
40020001	2	[0, 0, 0]	2	[2]	100	怪物行为：对指挥官攻击2	<color=#FFFFFF><地面监视器·大型> </color>行动开始	
40020002	2	[0, 0, 0]	2	[2]	101	怪物行为：对指挥官攻击2		
