Id	Name	Icon	Desc	Type	ShowLevel	IsSkill	RelationGroup	EffectGroupId	JoinSettle	JoinAdventureSettle	ColorType	Condition	Param	Tags	TagBgColors	ParentNode
227	<color=#9A6A16>高额购物基金</color>	Assets/Product/Texture/Image/IconSkill/R1lifuS1.png	进入<color=#9A6A16>新商店</color>时，<color=#9A6A16>银币+120</color>	2				1229		1	2			['商店', '银币']	['9A6A16', '9A6A16']	
228	<color=#9A6A16>中等赏金猎人</color>	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	每<color=#9A6A16>清理</color>一个<color=#9A6A16>危险区域</color>，<color=#9A6A16>银币+45</color>	2				1230		1	2			['清理敌人', '银币']	['9A6A16', '9A6A16']	
229	<color=#9A6A16>金矿开采</color>	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill04.png	<color=#9A6A16>每天</color>获得<color=#9A6A16>233银币</color>	2				1231		1	2					
230	<color=#9A6A16>行动：代理作战</color>	Assets/Product/Texture/Image/IconSkill/R2BuouxiongS1.png	现在可以消耗银币<color=#9A6A16>执行代理作战</color>	1				1232		1	2			['雇佣敌人', '银币']	['9A6A16', '9A6A16']	
231	<color=#9A6A16>特大补贴</color>	Assets/Product/Texture/Image/IconSkill/R2SufeiyaSS1.png	获得<color=#9A6A16>600银币</color>	2			125	1233		1	2					
232	<color=#9A6A16>天降之力</color>	Assets/Product/Texture/Image/IconAffix/UiTheatre4IconLv2502.png	立即在地图空白区域开启一个商店格	2				50		1	2					
1001	攻击·1	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+8%	1				21001			1					
1002	攻击·2	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+11%	1				21002			1					
1003	攻击·3	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+14%	1				21003			1					
1004	攻击·4	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+19%	1				21004			1					
1005	攻击·5	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+23%	1				21005			1					
1006	攻击·6	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+26%	1				21006			1					
1007	攻击·7	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+29%	1				21007			1					
1008	攻击·8	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+31%	1				21008			1					
1009	攻击·9	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+34%	1				21009			1					
1010	生命值	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	血量+300	1				21010			1					
1011	防御	Assets/Product/Texture/Image/IconSkill/R3TwentyoneS1.png	防御+100	1				21011			1					
1012	减抗·1	Assets/Product/Texture/Image/IconSkill/R3A2SS1.png	敌方全属性抗性-12%（同名支援效果不叠加）	1				21012			1					
1013	减抗·2	Assets/Product/Texture/Image/IconSkill/R3A2SS1.png	敌方全属性抗性-18%（同名支援效果不叠加）	1				21013			1					
1014	减抗·3	Assets/Product/Texture/Image/IconSkill/R3A2SS1.png	敌方全属性抗性-20%（同名支援效果不叠加）	1				21014			1					
1015	攻击·10	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	攻击+38%	1				21015			1					
