Id	Name	LevelUpId	Type	Prefab	Score	MoveType	StartMoveDirection	MoveRange	MoveSpeed	Weight	BornDelay	DestoryTime	CarryStoneId	CatchEffect	IsBoomDestroy	InitialType	IntParams	FloatParams
541	钻石·普通		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	1	2680	230	5	39.0	11.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
542	钻石·超级		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	1	2680	183	5	22.0	14.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
543	岩石·小		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	1	2680	155	50	37.0	17.0			1			
544	岩石·中		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	1	2680	226	200	32.0	11.0			1			
545	岩石·大		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	1	2680	204	300		13.0			1			
546	猫		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	239	6	24.0	11.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
547	猫+小钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	267	6	47.0	10.0	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
548	猫+大钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	266	6	23.0	10.0	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
549	猫+沙漏		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	289	6	22.0	9.0	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
550	猫+道具箱		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	286	6	23.0	9.0	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
551	猫+红包		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	1	2680	257	6	28.0	10.0	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
552	金矿·小		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	-1	2680	226	10	20.0	11.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
553	金矿·中		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	-1	2680	180	100	21.0	14.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
554	金矿·大		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	-1	2680	200	300	18.0	13.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
555	钻石·普通		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	-1	2680	170	5	16.0	15.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
556	钻石·超级		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	-1	2680	181	5	18.0	14.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
557	岩石·小		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	-1	2680	198	50		13.0			1			
558	岩石·中		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	-1	2680	237	200	20.0	11.0			1			
559	岩石·大		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	-1	2680	204	300	7.0	13.0			1			
560	猫		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	291	6	24.0	9.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
561	猫+小钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	265	6	29.0	10.0	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
562	猫+大钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	252	6	39.0	10.0	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
563	猫+沙漏		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	303	6	46.0	8.0	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
564	猫+道具箱		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	294	6	39.0	9.0	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
565	猫+红包		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	244	6	35.0	11.0	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
566	金矿·小		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	1	-1	2680	174	10		15.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
567	金矿·中		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250	1	-1	2680	233	100	12.0	11.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
568	金矿·大		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600	1	-1	2680	218	300	23.0	12.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
569	钻石·普通		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400	1	-1	2680	240	5	40.0	11.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
570	钻石·超级		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	1	-1	2680	181	5	29.0	14.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
571	岩石·小		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20	1	-1	2680	190	50	47.0	14.0			1			
572	岩石·中		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40	1	-1	2680	194	200	44.0	13.0			1			
573	岩石·大		1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60	1	-1	2680	180	300	25.0	14.0			1			
574	猫		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	284	6	20.0	9.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
575	猫+小钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	241	6	25.0	11.0	905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
576	猫+大钻石		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	284	6	30.0	9.0	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
577	猫+沙漏		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	271	6	27.0	10.0	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
578	猫+道具箱		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	258	6	40.0	10.0	909	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
579	猫+红包		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	1	-1	2680	262	6	20.0	10.0	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
801	左钻石定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	250	260	6			905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
802	左大钻石定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	250	260	6			906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
803	左炸弹定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab		1	1	250	260	6			907		1			
804	右钻石定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	-1	250	260	6			905	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
805	右大钻石定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	-1	250	260	6			906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
806	右炸弹定春		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab		1	-1	250	260	6			907		1			
900	小石头转变金		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100					50				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
901	中石头转变金		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250					200				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
902	大石头转变金		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600					300				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
903	钻石转变金		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100					5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
904	定春身上钻石变金		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldSp.prefab	100					4				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
905	定春钻石		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatDiamond.prefab	400					4				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
906	定春大钻石		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatDiamondMid.prefab	800					4				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
907	定春炸弹		4	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatBoom.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab	1			
908	定春红包		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatRedEnvelope.prefab											1		[1]	
909	定春道具箱		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatToolCase.prefab											1		[2]	
910	定春沙漏		7	Assets/Product/Ui/ComponentPrefab/GoldenMiner/CatSandGlass.prefab						5					1			[10.0]
911	转向点1（不能被炸掉；测试用）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[120, 60]	[1.0, 1.0]
912	转向点2（正常）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[120, 60]	[1.0, 1.0]
913	转向点3（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[120]	[999.0]
914	QTE		11	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Pomegranate.prefab						30				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[1]	[2.0]
915	河蚌（默认开启）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab									528				[0]	[1.0, 1.0]
916	河蚌（默认关闭，内容为空）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab													[1]	[1.0, 1.0]
917	转向点30度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[30]	[999.0]
918	转向点90度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[90]	[999.0]
919	转向点-200度至30度		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[-200, 30]	[5.0, 5.0]
920	河蚌（10004内含金子mid）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2902				[0]	[3.0, 3.0]
921	河蚌（10005内含石头mid）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									12				[0]	[3.0, 3.0]
922	转向点0度（10004无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[0, 220]	[5.0, 5.0]
923	转向点90度（10004无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[90]	[999.0]
924	转向点-90-0度（10004角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[-90, 0]	[5.0, 5.0]
925	猫咪（10004左右猫咪）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	500	260	6				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
926	大钻石（10005转圈）		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	3	360	80	80	5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
927	转向点30-60度（10005角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[30, 60]	[5.0, 5.0]
928	哭哭猫咪（10008左右猫咪）		5	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mouse.prefab	500	1	1	2	1	6			5	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
929	炸弹上（10008炸弹环绕猫咪）		4	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Boom.prefab		3	90	150	100					Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab	1			
930	引力改变装置		8	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Singularity.prefab						1				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[13]	
931	问号箱（一定出引力装置）		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/ToolCase.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[4]	
932	超级金子		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldSp.prefab	800					400				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
933	转向点150-20度（10008角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[20, 150]	[7.0, 7.0]
934	转向点-20至-150度（10008角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[-25, -150]	[7.0, 7.0]
935	河蚌+沙漏		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2906				[0]	[3.0, 3.0]
936	移动钻石		3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800	3		90	90	5				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
937	问号箱（一定出炸弹）		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/ToolCase.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[5]	
938	转向点-150度（10006无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab													[-150]	[999.0]
939	背着道具箱猫猫		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	1000	150	6			1002	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
940	炸弹下（10008炸弹环绕猫咪）		4	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Boom.prefab		3	-90	151	100					Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab	1			
941	转向点170（10010左上无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[170]	[999.0]
942	转向点-115（10010右上无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[-115]	[999.0]
943	转向点0-180度（10010上中间角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[-5]	[999.0]
944	转向点0度（10010中间左1无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[999.0]
945	转向点90度（10010无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[30]	[999.0]
946	转向点90度（10010无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[999.0]
947	转向点90度（10010无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[999.0]
948	河蚌（10010内含金子mid）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2902	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[1]	[3.0, 3.0]
949	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	360	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
950	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	300	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
951	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	240	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
952	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	180	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
953	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	120	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
954	小黄金（10011绕圈圈）		2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100	3	60	230	30	10				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
955	转向点6度		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[6]	[999.0]
956	巡逻猫猫（右向左）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	-1	3000	260	6				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
957	巡逻猫猫（左向右）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	3000	260	6				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
958	巡逻猫猫（右向左）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	-1	700	260	6				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
959	巡逻猫猫（左向右）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	700	260	6				Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
960	河蚌（10010内含2901-超级金子）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2904	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[1]	[8.0, 4.0]
961	河蚌（10010内含2903-大黄金）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2903	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[6.0, 3.0]
962	河蚌（10010内含2902-中黄金）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2902	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[1]	[6.0, 3.0]
963	河蚌（10010内含2906-沙漏）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[1]	[3.0, 3.0]
964	巡逻猫猫（右向左）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	-1	3000	400	6	10.0	15.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
965	巡逻猫猫（右向左）		5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	3000	400	6	7.0	15.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
966	河蚌（10010内含2901-超级金子）		10	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mussel.prefab									2901	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[1]	[5.0, 5.0]
967	下落哭哭猫咪		5	Assets/Product/Ui/ComponentPrefab/GoldenMiner/MouseRed.prefab	500	2	-1	2100	180	6	13.0	60.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
968	上升哭哭猫咪		5	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Mouse.prefab	500	2	1	2100	380	6	5.0	60.0		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1			
969	转向点0度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[999.0]
970	转向点200度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[200]	[999.0]
971	问号箱（一定出沙漏）		6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/ToolCase.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab	1		[6]	
972	转向点-80度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[-80]	[999.0]
973	转向点0度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[0]	[999.0]
974	转向点-90度（无角度变化）		9	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Turning.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab			[-90]	[999.0]
