Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes	LeftRewardTypeIds	LeftRewardMinNums	LeftRewardMaxNums	RightDesc	RightRewardTypes	RightRewardTypeIds	RightRewardMinNums	RightRewardMaxNums	ChooseLine	LineNum	NeedBuffs	Bg	IsOutNormalPool
67	placeholder_盲眼线人交给你一盒火柴，火柴盒背面画着某个地下集会所的地图。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_牢记地图路线	[2, 4]	{1: 1, 2: 103}	[0, 1]		placeholder_丢掉火柴	[2, 1]	{1: 1, 2: 3}	[-10, 5]	{1: -5, 2: 10}					True
68	一份尸检报告显示：死者的胃里除了一串钥匙外，没有任何的事物。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	取出钥匙	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	登记钥匙编号	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}					
69	placeholder_邪教徒的长袍里缝着一张复杂的星象图，标注了下一次红月出现的时间。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_抄写星象图	[2, 4]	{1: 1, 2: 105}	[-15, 1]	{1: -10}	placeholder_撕下长袍	[2]	{1: 1}	[-10]	{1: -5}					True
70	你的桌上出现了一张入场门票，但上面缩写的地点，却是一个似乎从未存在过的地下俱乐部。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	记下门票上的信息	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	忽略不看	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
71	古董店的老板向你推销一个古旧的八音盒，并声称它能奏出海妖的歌声。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	打开八音盒聆听歌声	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	拒绝聆听八音盒的声音	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	101	1			
72	午夜时分，床头旁的八音盒自动响了起来，诡异的旋律钻入大脑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	不去在意音乐的旋律	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	将八音盒扔出窗户	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	101	2			
73	随着八音盒中的音乐达到高潮，八音盒蓦然碎裂，里面掉落出了一块诡异的肉块。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	观察肉块	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	放火焚烧	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	101	3			
74	画廊里挂牌展示着一副星夜的油画，看得久了，似乎画面上的星星都在缓缓燃烧。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	凑近观察	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	询问画廊的老板	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	102	1			
75	画廊老板不明原因地暴毙身亡，他的手中，握着一把打不开画廊里任何一扇门的钥匙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拿走钥匙	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	继续搜查对方的口袋	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	102	2			
76	孤岛上的灯塔已经彻底熄灭，你乘着小船靠近时，海风送来了一阵令人作呕的腥味。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	强行登岛	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	用手帕捂住鼻子	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	103	1			
77	在灯塔的入口处，散落着不知是从什么生物身上脱落下来的滑腻鳞片。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	观察鳞片	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	小心避开	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	103	2			
78	在灯塔的顶层，躯体已经变异的守塔人对你的到来视若无睹，只是低头进行着祈祷。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	进行劝说	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	不去打扰	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	103	3			
79	变异的守塔人似乎终于察觉到了你的存在，转过那张扭曲的脸，失控地向你靠近。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拔枪戒备	[7]	{1: 1000}	[1]		试图与其交谈	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	103	4			
80	维修街道的工人声称挖到了“宝物”，但那只是一块刻着古怪符文的石板。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拓印上面的符文	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	要求工人们深埋石板	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	104	1			
81	当你独自在房间里研究那块带有符文的石板时，石板上的符文忽然渗出了如血般的黏液。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	收集液体	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	丢掉石板	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}	104	2			
82	鲜血般的黏液在桌上流淌着，腐蚀出了和石板上一模一样的图案。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	擦拭桌上的痕迹	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	仔细辨认痕迹的细节	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	104	3			
83	开往郊区的列车驶入浓雾中，车厢里的气温随之骤降，车窗上凝结起一层层的冰纹。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图分辨冰纹的纹路	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	闭眼不看	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}	105	1			
84	车厢连接处的门被猛地撞开，闯入的乘务员已经面目难辨，制服的袖口里挥舞着节肢。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	举枪瞄准	[7]	{1: 1000}	[1]		试图躲避挥舞的节肢	[7]	{1: 1000}	[1]		105	2			
201	街边的煤气灯不停地闪动着，如同巨型怪物不断闪动的双眼。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试着解读灯光闪动的频率	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	无意识地向灯光靠近	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
202	placeholder_烂醉水手在酒馆外呕吐，吐出扭曲的黑色海藻。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_止不住干呕	[2, 1]	{1: 1, 2: 4}	[-10, 5]	{1: -5, 2: 10}	placeholder_强忍恶心翻找海藻	[2, 3, 1]	{1: 1, 3: 2}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
203	停尸间上的墙壁上残留着深红色的污渍，仿佛是死者曾经“复活”留下的暗号。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	在笔记本上临摹符号	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	试图擦除污渍	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
204	杂货店橱窗里的洋娃娃坐得整整齐齐，玻璃珠的眼球齐刷刷地看向了你。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	本能后退	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	靠近观察	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
205	狭小的旅馆房间里，隔壁房间的墙壁后面，传来了指甲刮擦的刺耳声音。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细聆听	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	默默忍受	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
206	placeholder_盲眼琴师在广场拉小提琴，琴弦是用某种坚韧的血管做的。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_赶忙离开	[2, 1]	{1: 1, 2: 3}	[-10, 5]	{1: -5, 2: 10}	placeholder_观察小提琴	[2, 1]	{1: 1, 2: 4}	[-15, 5]	{1: -10, 2: 10}					True
207	placeholder_屠夫摊位上挂着半扇不知名生物的肋骨，骨头上刻满符文。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_抚摸符文	[2]	{1: 1}	[-15]	{1: -10}	placeholder_不感兴趣	[2, 1]	{1: 1, 2: 1}	[-10, 5]	{1: -5, 2: 10}					True
208	街角的邮筒不知从何时开始不再有邮递员前来，雪片样的信件不断从邮筒中溢出。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	收拾信件	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	拆开信件	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
209	封闭的马车驶过街头，在道路上留下断续的车辙，而车厢中传来了隐隐的低语。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	目送马车远去	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}	仔细辨认车中传出的低语	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
210	宴会厅上，酒杯中的液体忽然散发出铁锈的腥味，隐约可见杯底的怪异沉淀。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	触碰杯底的沉淀	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	仔细分辨液体的气味	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
211	在孤儿院的墙上，是孩子们画下的笔触稚嫩的众多眼睛。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	与“眼睛”对视	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	伸手触碰“眼睛”	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
212	下水道的深处，隐约传来众多老鼠尖细的叫声。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	认真观察	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	试图用石头驱散聚集的老鼠	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
213	浓雾深处，走来了一支送葬的队伍，但棺材中却传出了敲击的声音。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	目送送葬的队伍远去	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}	调查棺材中有什么	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
214	你在自己的风衣口袋里，触碰到了一根古怪的尖刺。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	扔掉手中的尖刺	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 13, 33]	{2: 17, 3: 37}	仔细观察尖刺的形态	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
215	在钟表匠的店铺里，无数的时钟发出抵达的声音，指针在诡异地倒转。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拆开钟表	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	刻意忽略	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
216	placeholder_街头画师的画布上画着你，他正用沾血的画笔涂抹金币。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_转身离开	[2, 1]	{1: 1, 2: 1}	[-10, 5]	{1: -5, 2: 10}	placeholder_夺走画布	[2, 3, 1]	{1: 1, 3: 4}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
217	你掰开手中香气扑鼻的烤肉馅饼，看到了里面苍白的、类似指骨碎片的东西。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拼凑碎片	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	丢弃馅饼	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
218	胡须花白的药剂师，向你推销一种在使用后就能“看见真实”的眼药水。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	摇头拒绝	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 13, 33]	{2: 17, 3: 37}	接受“真实的代价”	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
219	空无一人的教堂里，废弃的圣坛上，一只黑猫在闭目沉睡。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细观察黑猫	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	请牧师为此祈祷	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
220	广场的喷泉中，泉水早已干涸，取而代之的是暗色的黏液。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	避免黏液沾到自己身上	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	伸手小心触碰	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
221	placeholder_巡夜警员尸体被挂在钟楼，面部呈现极度扭曲的惊恐。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_仔细验尸	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}	placeholder_寻找牧师	[2]	{1: 1}	[20]	{1: 40}					True
222	平静的河面上，缓缓地飘来了一条巨大的腐臭的怪鱼。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	用手帕捂住鼻子	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 13, 33]	{2: 17, 3: 37}	尝试捞起那条怪鱼	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
223	你凝视着积水里自己的倒影，不知是否是错觉，你看到倒影对你微笑了一下。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	静静凝视水面倒影	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	闭上眼睛	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}					
224	博物馆里的珍品展示柜的玻璃忽然碎裂，里面的奇珍闪耀着诱人的光芒。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	不去在意	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	试图触碰展柜里的物品	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
225	placeholder_醉汉在暗巷向你招手，随后脖子裂开一道深可见骨的鳃。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_近距离观察	[2]	{1: 1}	[-15]	{1: -10}	placeholder_转身回家	[2]	{1: 1}	[20]	{1: 40}					True
226	placeholder_疯人院逃出的病人在街头狂舞，突然嘶吼着向你冲撞过来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_寻找同伴	[2]	{1: 1}	[20]	{1: 40}	placeholder_拦下他	[2, 4, 1]	{1: 1, 2: 106, 3: 3}	[-10, 1, 5]	{1: -5, 3: 10}					True
227	在你的手中，怀表的指针忽然停止了，随后，指针开始倒转。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	盯着倒转的指针	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	闭眼不去看那块怀表	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 13, 33]	{2: 17, 3: 37}					
228	衣衫褴褛的乞丐坐在路边，但他用来乞讨的帽子里，只有一些蠕动的虫子。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	询问同伴是否要帮助他	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	往他的帽子里放下一枚硬币	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}					
229	你静静盯着照相馆橱窗里的一张泛黄的合影，上面所有人的面孔都被涂黑了。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图擦拭照片上的污渍	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	不再看那张照片	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
230	placeholder_码头工人正在搬运一口沉重的木箱，箱缝里漏出金色的光。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_去酒馆喝酒	[2]	{1: 1}	[20]	{1: 40}	placeholder_撬开木箱	[2, 3]	{1: 1}	[-15, 5]	{1: -10, 2: 10}					True
231	placeholder_街边长椅上的无头西装男突然站起，挥舞着手杖砸向你。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_夺下手杖	[2, 1, 1]	{1: 1, 2: 3, 3: 1}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}	placeholder_深呼吸平复	[2]	{1: 1}	[20]	{1: 40}					True
232	placeholder_你的笔记本上，不知被谁用红笔写下了一长串未知坐标。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_喝杯热牛奶	[2]	{1: 1}	[20]	{1: 40}	placeholder_查阅地图对比坐标位置	[2, 4, 1]	{1: 1, 2: 102, 3: 4}	[-10, 1, 5]	{1: -5, 3: 10}					True
233	剧院的舞台上，歌剧演员唱出的歌声似乎有某种催眠的魔力。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	静静聆听	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	捂住耳朵不再聆听	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
234	剧院的包厢里空无一人，地面上散落着沾满血手印的节目单。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	不去触碰那些纸张	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	捡起节目单	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
235	理发店里，乌黑的头发散落在地，如同扭曲的肢体。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图伸手触碰发丝	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	转身离去	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
236	面包师从烤炉里取出新烤好的面包，但那些面包都变成了焦黑扭曲的形状，如同怪物。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	并不在意	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	仔细查验	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
237	在迷雾弥漫的街道上，你迷失了方向，忽然，你的视线中出现了一座绝不可能存在的灯塔。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	向灯塔走去	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	闭上眼睛	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}					
238	警长交给你一份验尸报告，上面显示死者的内脏都已经被老鼠啃食殆尽。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细研读报告	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	认真查验死者的情况	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}					
239	郊区的一口枯竭已久的水井里，隐隐露出了众多造型怪异的雕像。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	尝试打捞雕像	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	举起提灯探查井底	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
240	placeholder_火车站的售票员面无表情，退给你的找零上沾满绿色粘液。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_去酒馆喝酒	[2]	{1: 1}	[20]	{1: 40}	placeholder_收下硬币	[2, 3]	{1: 1}	[-15, 5]	{1: -10, 2: 10}					True
241	迷雾中，忽然冲出了一只瘦削的流浪狗，低低的吠叫声仿佛是在模仿人的言语。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	出手驱赶	[7]	{1: 1000}	[1]		谨慎后退	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}					
242	警局的档案室里，堆积如山的旧卷宗里冒出古怪的黑气。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	给档案室上锁	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	举枪戒备	[7]	{1: 1000}	[1]						
243	你投影在地上的影子里，脖颈的边缘出现了一只并不存在的手，正在缓缓地逼向你。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	举枪戒备	[7]	{1: 1000}	[1]		举起提灯驱散黑影	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
244	在拍卖会上，压轴的拍卖品，是一只无法分辨是什么品种的古怪动物的标本。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	出高价买下	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	上前打碎装着标本的瓶子	[7]	{1: 1000}	[1]						
245	报社的印刷机突发故障，印出的所有报纸上，都只有一句如同邪恶咒语的不明文字。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	关闭机器	[7]	{1: 1000}	[1]		强行切断电源	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
246	街头的占卜摊上，每一张塔罗牌上都显示着奇特的暗纹。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细查看卡牌	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	应对占卜摊主人的忽然袭击	[7]	{1: 1000}	[1]						
247	在夜里巡视的守墓人在试图掘开墓地偷盗陪葬品时，突然陷入疯狂中。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	控制他的癫狂	[7]	{1: 1000}	[1]		填埋被掘开的墓地	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
248	一只通体漆黑的怪鸟停在你的窗台，不停地用尖利的鸟喙啄着玻璃。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	拉上窗帘	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	试图驱逐鸟儿	[7]	{1: 1000}	[1]						
249	在寒夜里，卧室上的冰霜渐渐组合成难以辨认的文字。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	击碎玻璃查看外面有什么	[7]	{1: 1000}	[1]		在笔记本上描摹图案	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
