EffectGroupId	Note	PanelOpenUp	PanelOpenDown	PanelCardShowOff	EffectOpenBox	SkipEffect	CarriageEffect	FloorEffect	CardEffectStart	CardEffect	ApertureEffect	CardEffectSound
30	深红之渊·红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi01Prefab/FxUiMain3dQishiCloudRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
31	露娜皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab		
32	露娜卡皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab		
33	露娜卡皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab		
34	露西亚皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLuxiya/FxUiMain3dLuxiyaDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
35	露西亚皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLuxiya/FxUiMain3dLuxiyaDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
36	露西亚皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLuxiya/FxUiMain3dLuxiyaDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLuxiya/FxUiMain3dLuxiyaDizuoRedPingmu.prefab	1554
37	赛琳娜皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dSailinna/FxUiMain3dSailinnaDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
38	赛琳娜皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dSailinna/FxUiMain3dSailinnaDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
39	赛琳娜皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dSailinna/FxUiMain3dSailinnaDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
40	4.2比安卡皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dBianka/FxUiMain3dBiankaDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
41	4.2比安卡皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dBianka/FxUiMain3dBiankaDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
42	4.2比安卡皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dBianka/FxUiMain3dBiankaDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
43	4.5丽芙皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu01/FxUiMain3dLifu01DizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
44	4.5丽芙皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu01/FxUiMain3dLifu01DizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
45	4.5丽芙皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu01/FxUiMain3dLifu01DizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
