Id	Name	Type	LifeType	ShowType	ShowDesc	ShowOnPointTypes	ShowOnColors	Params	Icon	Desc
216	时间静止	21	2							指挥官1简单2-本回合结算时，不走时间轴结算，但进度照常
217	行动力	14	4	1	获得3点行动点，失去1点三色颜料			[3]		指挥官2简单1-行动点+3
218	数据获得	10	4					[1, -1]		指挥官2简单1-三色数据-1
219	数据获得	10	4					[2, -1]		指挥官2简单1-三色数据-1
220	数据获得	10	4					[3, -1]		指挥官2简单1-三色数据-1
221	行动力	14	4	1	获得5点行动点，获得5点三色颜料			[5]		指挥官2简单2-行动点+5
222	数据获得	10	4					[1, 5]		指挥官2简单2-三色数据+5
223	数据获得	10	4					[2, 5]		指挥官2简单2-三色数据+5
224	数据获得	10	4					[3, 5]		指挥官2简单2-三色数据+5
225	瞬移Ⅲ	1	2		本回合移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	指挥官3简单1-本回合移动不消耗行动点
226	蓝色提升	11	6	1	派系大师等级提升1			[3, 1]		指挥官3简单1-下回合蓝色病毒等级+1
227	红色提升	11	6					[1, 1]		指挥官3简单1-下回合红色病毒等级+1
228	绿色提升	11	6					[2, 1]		指挥官3简单1-下回合绿色病毒等级+1
229	蓝色提升	11	4	1	派系大师等级下降2			[3, -2]		指挥官3简单2-蓝色病毒等级-2
230	红色提升	11	4					[1, -2]		指挥官3简单2-红色病毒等级-2
231	绿色提升	11	4					[2, -2]		指挥官3简单2-绿色病毒等级-2
232	数据获得	10	4	1	获得5点三色颜料			[1, 5]		指挥官3简单2-三色数据+5
233	数据获得	10	4					[2, 5]		指挥官3简单2-三色数据+5
234	数据获得	10	4					[3, 5]		指挥官3简单2-三色数据+5
235	绿色下降	11	4	1	派系大师(绿)下降1级			[2, -1]		指挥官1困难1-绿色BOSS等级-1
236	无需行动	2	2		本回合在绿色区域上移动不消耗行动力	[1, 2]	[2]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	指挥官1困难1-本回合在绿色区域上移动不消耗行动力
237	数据丢失	10	4	1	失去5点绿色颜料			[2, -5]		指挥官1困难2-绿色数据-5
238	时间静止	21	2							指挥官1困难2-本回合结算时，不走时间轴结算，但进度照常
239	行动力	14	4	1	获得3点行动点，失去1点三色颜料			[3]		指挥官2困难1-行动点+3
240	数据获得	10	4					[1, -1]		指挥官2困难1-三色数据-1
241	数据获得	10	4					[2, -1]		指挥官2困难1-三色数据-1
242	数据获得	10	4					[3, -1]		指挥官2困难1-三色数据-1
243	行动力	14	4	1	获得5点行动点，获得5点三色颜料			[5]		指挥官2困难2-行动点+5
244	数据获得	10	4					[1, 5]		指挥官2困难2-三色数据+5
245	数据获得	10	4					[2, 5]		指挥官2困难2-三色数据+5
246	数据获得	10	4					[3, 5]		指挥官2困难2-三色数据+5
247	瞬移Ⅲ	1	2		本回合移动不消耗行动点	[1, 2]	[1, 2, 3]	[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	指挥官3困难1-本回合移动不消耗行动点
248	蓝色提升	11	6	1	派系大师等级提升1			[3, 1]		指挥官3困难1-下回合蓝色病毒等级+1
249	红色提升	11	6					[1, 1]		指挥官3困难1-下回合红色病毒等级+1
250	绿色提升	11	6					[2, 1]		指挥官3困难1-下回合绿色病毒等级+1
251	蓝色提升	11	4	1	派系大师等级下降2			[3, -2]		指挥官3困难2-蓝色病毒等级-2
252	红色提升	11	4					[1, -2]		指挥官3困难2-红色病毒等级-2
253	绿色提升	11	4					[2, -2]		指挥官3困难2-绿色病毒等级-2
254	数据获得	10	4	1	获得5点三色颜料			[1, 5]		指挥官2困难2-三色数据+5
255	数据获得	10	4					[2, 5]		指挥官2困难2-三色数据+5
256	数据获得	10	4					[3, 5]		指挥官2困难2-三色数据+5
257	红色行动禁止	20	1					[1, 1]		新手专用，禁止红色区块行动
258	蓝色行动禁止	20	1					[3, 1]		新手专用，禁止蓝色区块行动
259	中央区域红奖励	23	2	1	经过或站立在核心区域时，获得7点红色颜料	[4]	[1]	[1, 7]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	中央区域红奖励
260	中央区域绿奖励	23	2	1	经过或站立在核心区域时，获得7点绿色颜料	[4]	[2]	[2, 7]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	中央区域蓝奖励
261	中央区域蓝奖励	23	2	1	经过或站立在核心区域时，获得7点蓝色颜料	[4]	[3]	[3, 7]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	中央区域绿奖励
262	新手第一关	26	3		新手第一关第二回合专用效果，roll点锁定为5			[5, 5, 5, 5, 5, 5]		新手第一关第二回合专用效果，roll点锁定为5，第一回合挂，下回合持续
263	新手第一关关卡	37	1					[2]		关卡效果，常规爆发不进行随机，锁定提升绿色BOSS的等级
264	新手第二关关卡	37	2					[2]		一回合有效的关卡效果，用于指定提升绿色boss等级
