SpawnId	SpawnProbability	IsCheckLuck	IsCheckWave	SpawnMaxInterval	SpawnDistance	SpawnRange	SpawnMonsterId	SpawnMonsterNum
1	125	2	12	3	20001	1	40600907	7000
	1	1		12	3	20003	1	40601001
10000			75	2	10	3	10001	4
40601002	10000			1		10	3	10001
3	40601003	6000		1	75	2	10	3
10003	3	40601004	10000			75	2	12
3	20001	2	40601005	10000			1	
12	3	20001	1	40601006	8000		1	125
2	12	3	20001	1	40601007	7000		1
1		12	3	20003	1	40601008	6000	
1	125	2	12	3	30003	1	40601101	10000
		75	2	10	3	10001	4	40601102
10000			1		10	3	10001	3
40601103	10000			1		10	3	10002
2	40601104	6000		1	75	2	10	3
10003	3	40601105	10000			75	2	12
3	20001	2	40601106	10000			1	
12	3	20001	1	40601107	8000		1	125
2	12	3	20001	1	40601108	7000		1
1		12	3	20003	1	40601201	10000	
	75	2	10	3	10001	4	40601202	10000
		1		10	3	10001	3	40601203
10000			1		10	3	10002	2
40601204	6000		1	75	2	10	3	10003
3	40601205	10000			75	2	12	3
20001	2	40601206	10000			1		12
3	20001	1	40601207	8000		1	125	2
12	3	20001	1	40601208	7000		1	1
	12	3	20003	1	40601301	10000		
75	2	10	3	10001	4	40601302	10000	
	1		10	3	10001	3	40601303	10000
		1		10	3	10002	2	40601304
6000		1	75	2	10	3	10003	3
40601305	10000			75	2	12	3	20001
2	40601306	10000			1		12	3
20001	1	40601307	8000		1	125	2	12
3	20001	1	40601308	7000		1	1	
12	3	20003	1	40700101	4000		1	3
	12	3	50001	1	40700102	10000		
75	2	10	3	10001	4	40700103	10000	
	1		10	3	10001	3	40700104	6000
	1	1		10	3	10002	2	40700105
8000		1	125	2	12	3	20001	1
40700106	4000		1	15	1	12	3	30001
1	40700201	10000			75	2	10	3
10001	4	40700202	10000			1		10
3	10001	3	40700203	6000		1	1	
10	3	10002	2	40700204	10000			1
	10	3	10001	1	40700205	8000		1
125	2	12	3	20001	1	40700301	10000	
	75	2	10	3	10001	4	40700302	10000
		1		10	3	10001	3	40700303
6000		1	1		10	3	10002	2
40700304	8000		1	125	2	12	3	20001
1	40700305	6000		1	15	1	12	3
20001	1	40700401	10000			75	2	10
3	10001	4	40700402	10000			1	
10	3	10001	3	40700403	10000			1
	12	3	20001	1	40700404	8000		1
125	2	12	3	20001	1	40700501	10000	
	75	2	10	3	10001	4	40700502	10000
		1		10	3	10001	3	40700503
10000			1		12	3	20001	1
40700504	8000		1	125	2	12	3	20001
1	40700601	10000			75	2	10	3
10001	4	40700602	10000			1		10
3	10001	3	40700603	10000			1	
12	3	20001	1	40700604	8000		1	125
2	12	3	20001	1	40700701	10000		
75	2	10	3	10001	4	40700702	10000	
	1		10	3	10001	3	40700703	10000
		1		12	3	20001	1	40700704
8000		1	125	2	12	3	20001	1
40700801	10000			75	2	10	3	10001
4	40700802	10000			1		10	3
10001	3	40700803	10000			1		12
3	20001	1	40700804	8000		1	125	2
12	3	20001	1	40700901	10000			75
2	10	3	10001	4	40700902	10000		
1		10	3	10001	3	40700903	10000	
	1		12	3	20001	1	40700904	8000
	1	125	2	12	3	20001	1	40701001
10000			75	2	10	3	10001	4
40701002	10000			1		10	3	10001
3	40701003	10000			75	2	12	3
20001	2	40701004	10000			1		12
3	20001	1	40701005	8000		1	125	2
12	3	20001	1	40701006	7000		1	1
	12	3	20003	1	40701101	10000		
75	2	10	3	10001	4	40701102	10000	
	1		10	3	10001	3	40701103	10000
		75	2	12	3	20001	2	40701104
10000			1		12	3	20001	1
40701105	8000		1	125	2	12	3	20001
1	40701106	7000		1	1		12	3
20003	1	40701201	10000			75	2	10
3	10001	4	40701202	10000			1	
10	3	10001	3	40701203	10000			1
	10	3	10002	2	40701204	10000		
75	2	12	3	20001	2	40701205	10000	
	1		12	3	20001	1	40701206	8000
	1	125	2	12	3	20001	1	40701207
7000		1	1		12	3	20003	1
40701301	10000			75	2	10	3	10001
4	40701302	10000			1		10	3
10001	3	40701303	10000			1		10
3	10002	2	40701304	10000			75	2
12	3	20001	2	40701305	10000			1
	12	3	20001	1	40701306	8000		1
125	2	12	3	20001	1	40701307	7000	
1	1		12	3	20003	1	40701401	10000
		75	2	10	3	10001	4	40701402
10000			1		10	3	10001	3
40701403	10000			1		10	3	10002
2	40701404	10000			75	2	12	3
20001	2	40701405	10000			1		12
3	20001	1	40701406	8000		1	125	2
12	3	20001	1	40701407	7000		1	1
	12	3	20003	1	40701501	10000		
75	2	10	3	10001	4	40701502	10000	
	1		10	3	10001	3	40701503	10000
		1		10	3	10002	2	40701504
10000			75	2	12	3	20001	2
40701505	10000			1		12	3	20001
1	40701506	8000		1	125	2	12	3
20001	1	40800101	10000			2		12
3	50001	1	40800102	10000			5	1
10	3	10001	6	40800103	10000			67
2	10	3	10001	4	40800104	6000		1
67	2	10	3	10002	2	40800105	8000	
1	83	2	12	3	20001	1	40800201	10000
		5	1	10	3	10001	6	40800202
10000			67	2	10	3	10001	4
40800203	6000		1	67	2	10	3	10002
2	40800204	10000			67	2	10	3
10001	2	40800205	8000		1	83	2	12
3	20001	1	40800301	4000		1	2	
12	3	50001	1	40800302	10000			5
1	10	3	10001	6	40800303	10000		
67	2	10	3	10001	4	40800304	6000	
1	67	2	10	3	10002	2	40800305	10000
		67	2	10	3	10001	2	40800306
10000			5	1	12	3	20001	2
40800307	8000		1	83	2	12	3	20001
1	40800401	10000			5	1	10	3
10001	6	40800402	10000			67	2	10
3	10001	4	40800403	6000		1	67	2
10	3	10002	2	40800404	10000			67
2	10	3	10001	2	40800405	10000		
5	1	12	3	20001	2	40800406	8000	
1	83	2	12	3	20001	1	40800501	6000
	1	67	2	10	3	10002	2	40800502
10000			67	2	10	3	10001	2
40800503	10000			5	1	12	3	20001
2	40800504	8000		1	83	2	12	3
20001	1	40800601	5000		1	2		12
10	50001	2	40800602	10000			5	1
10	3	10001	6	40800603	10000			67
2	10	3	10001	4	40800604	6000		1
67	2	10	3	10002	2	40800605	10000	
	67	2	10	3	10001	2	40800606	10000
		5	1	12	3	20001	2	40800607
8000		1	83	2	12	3	20001	1
40800701	10000			5	1	10	3	10001
6	40800702	10000			67	2	10	3
10001	4	40800703	6000		1	67	2	10
3	10002	2	40800704	10000			67	2
10	3	10001	2	40800705	10000			5
1	12	3	20001	2	40800706	8000		1
83	2	12	3	20001	1	40800801	10000	
	5	1	10	3	10001	6	40800802	10000
		67	2	10	3	10001	4	40800803
10000			5	1	12	3	20001	2
40800804	10000			67	2	12	3	20001
1	40800805	8000		1	83	2	12	3
20001	1	40800806	7000		1	67	2	12
3	20003	1	40800901	10000			5	1
10	3	10001	6	40800902	10000			67
2	10	3	10001	4	40800903	10000		
5	1	12	3	20001	2	40800904	10000	
	67	2	12	3	20001	1	40800905	8000
	1	83	2	12	3	20001	1	40800906
7000		1	67	2	12	3	20003	1
40801001	5000		1	2		12	10	50001
2	40801002	10000			67	2	10	3
10002	2	40801003	10000			5	1	12
3	20001	2	40801004	10000			67	2
12	3	20001	1	40801005	8000		1	83
2	12	3	20001	1	40801006	7000		1
67	2	12	3	20003	1	40801101	10000	
	67	2	10	3	10002	2	40801102	10000
		67	2	10	3	10001	2	40801103
10000			5	1	12	3	20001	2
40801104	10000			67	2	12	3	20001
1	40801105	8000		1	83	2	12	3
20001	1	40801106	7000		1	67	2	12
3	20003	1	40801201	10000			67	2
10	3	10002	2	40801202	6000		1	5
1	10	3	10003	3	40801203	10000		
67	2	10	3	10001	2	40801204	10000	
	5	1	12	3	20001	2	40801205	10000
		67	2	12	3	20001	1	40801206
8000		1	83	2	12	3	20001	1
40801207	7000		1	67	2	12	3	20003
1	40801301	5000		1	2		12	10
50001	2	40801302	10000			67	2	10
3	10002	2	40801303	6000		1	5	1
10	3	10003	3	40801304	10000			5
1	12	3	20001	2	40801305	10000		
67	2	12	3	20001	1	40801306	8000	
1	83	2	12	3	20001	1	40801307	7000
	1	67	2	12	3	20003	1	40801401
10000			67	2	10	3	10002	2
40801402	6000		1	5	1	10	3	10003
3	40801403	10000			5	1	12	3
20001	2	40801404	10000			67	2	12
3	20001	1	40801405	8000		1	83	2
12	3	20001	1	40801406	7000		1	67
2	12	3	20003	1	40801501	10000		
67	2	10	3	10002	2	40801502	6000	
1	5	1	10	3	10003	3	40801503	10000
		5	1	12	3	20001	2	40801504
10000			67	2	12	3	20001	1
40801505	8000		1	83	2	12	3	20001
1	40801506	7000		1	67	2	12	3
20003	1	40900101	8000		1	83	2	12
3	20001	1	40900102	10000			5	1
10	3	10001	4	40900103	10000			5
1	10	3	10001	6	40900104	10000		
67	2	10	3	10001	4	40900105	8000	
1	83	2	12	3	20001	1	40900201	10000
		5	1	10	3	10001	6	40900202
10000			67	2	10	3	10001	4
40900203	6000		1	67	2	10	3	10002
2	40900204	8000		1	83	2	12	3
20001	1	40900301	10000			5	1	10
3	10001	6	40900302	10000			67	2
10	3	10001	4	40900303	10000			2
	10	3	60001	1	40900401	10000		
5	1	10	3	10001	6	40900402	10000	
	67	2	10	3	10001	4	40900403	10000
		5	1	12	3	20001	2	40900404
8000		1	83	2	12	3	20001	1
40900501	10000			5	1	10	3	10001
6	40900502	10000			67	2	10	3
10001	4	40900503	10000			5	1	12
3	20001	2	40900504	8000		1	83	2
12	3	20001	1	40900601	10000			5
1	10	3	10001	6	40900602	10000		
67	2	10	3	10001	4	40900603	10000	
	5	1	12	3	20001	2	40900604	10000
		67	2	12	3	20001	1	40900605
8000		1	83	2	12	3	20001	1
40900701	10000			5	1	10	3	10001
6	40900702	10000			67	2	10	3
10001	4	40900703	10000			5	1	12
3	20001	2	40900704	10000			67	2
12	3	20001	1	40900705	8000		1	83
2	12	3	20001	1	40900801	10000		
5	1	10	3	10001	6	40900802	10000	
	67	2	10	3	10001	4	40900803	10000
		5	1	12	3	20001	2	40900804
10000			67	2	12	3	20001	1
40900805	8000		1	83	2	12	3	20001
1	40900901	10000			5	1	10	3
10001	6	40900902	10000			67	2	10
3	10001	4	40900903	10000			5	1
12	3	20001	2	40900904	10000			67
2	12	3	20001	1	40900905	8000		1
83	2	12	3	20001	1	40900906	7000	
1	67	2	12	3	20003	1	40901001	10000
		5	1	10	3	10001	6	40901002
10000			67	2	10	3	10001	4
40901003	10000			5	1	12	3	20001
2	40901004	10000			67	2	12	3
20001	1	40901005	8000		1	83	2	12
3	20001	1	40901006	7000		1	67	2
12	3	20003	1	40901101	10000			5
1	10	3	10001	6	40901102	10000		
67	2	10	3	10001	4	40901103	10000	
	5	1	12	3	20001	2	40901104	10000
		67	2	12	3	20001	1	40901105
8000		1	83	2	12	3	20001	1
40901106	7000		1	67	2	12	3	20003
1	40901201	10000			5	1	10	3
10001	6	40901202	10000			67	2	10
3	10001	4	40901203	10000			5	1
12	3	20001	2	40901204	10000			67
2	12	3	20001	1	40901205	8000		1
83	2	12	3	20001	1	40901206	7000	
1	67	2	12	3	20003	1	40901301	10000
		5	1	10	3	10001	6	40901302
10000			67	2	10	3	10001	4
40901303	10000			5	1	12	3	20001
2	40901304	10000			67	2	12	3
20001	1	40901305	8000		1	83	2	12
3	20001	1	40901306	7000		1	67	2
12	3	20003	1	40901401	10000			5
1	10	3	10001	6	40901402	10000		
67	2	10	3	10001	4	40901403	10000	
	5	1	12	3	20001	2	40901404	10000
		67	2	12	3	20001	1	40901405
8000		1	83	2	12	3	20001	1
40901406	7000		1	67	2	12	3	20003
1	40901501	10000			5	1	10	3
10001	6	40901502	10000			67	2	10
3	10001	4	40901503	10000			5	1
12	3	20001	2	40901504	10000			67
2	12	3	20001	1	40901505	8000		1
83	2	12	3	20001	1	40901506	7000	
1	67	2	12	3	20003	1	40901601	10000
		5	1	10	3	10001	6	40901602
10000			67	2	10	3	10001	4
40901603	10000			5	1	12	3	20001
2	40901604	10000			67	2	12	3
20001	1	40901605	8000		1	83	2	12
3	20001	1	40901606	7000		1	67	2
12	3	20003	1	40901701	10000			5
1	10	3	10001	6	40901702	10000		
67	2	10	3	10001	4	40901703	10000	
	5	1	12	3	20001	2	40901704	10000
		67	2	12	3	20001	1	40901705
8000		1	83	2	12	3	20001	1
40901706	7000		1	67	2	12	3	20003
1	40901801	10000			5	1	10	3
10001	6	40901802	10000			67	2	10
3	10001	4	40901803	10000			5	1
12	3	20001	2	40901804	10000			67
2	12	3	20001	1	40901805	8000		1
83	2	12	3	20001	1	40901806	7000	
1	67	2	12	3	20003	1	40901901	10000
		5	1	10	3	10001	6	40901902
10000			67	2	10	3	10001	4
40901903	10000			5	1	12	3	20001
2	40901904	10000			67	2	12	3
20001	1	40901905	8000		1	83	2	12
3	20001	1	40901906	7000		1	67	2
12	3	20003	1	40902001	10000			5
1	10	3	10001	6	40902002	10000		
67	2	10	3	10001	4	40902003	10000	
	5	1	12	3	20001	2	40902004	10000
		67	2	12	3	20001	1	40902005
8000		1	83	2	12	3	20001	1
40902006	7000		1	67	2	12	3	20003
1	41000101	10000			2		12	3
50001	1	41000102	10000			5	1	10
3	10001	6	41000103	10000			67	2
10	3	10001	4	41000104	8000		1	83
2	12	3	20001	1	41000201	10000		
5	1	10	3	10001	6	41000202	10000	
	67	2	10	3	10001	4	41000203	10000
		67	2	10	3	10001	2	41000204
8000		1	83	2	12	3	20001	1
41000301	10000			5	1	10	3	10001
6	41000302	10000			67	2	10	3
10001	4	41000303	8000		1	83	2	12
3	20001	1	41000401	10000			5	1
10	3	10001	6	41000402	10000			67
2	10	3	10001	4	41000403	10000		
67	2	10	3	10001	2	41000404	8000	
1	83	2	12	3	20001	1	41000501	10000
		5	1	10	3	10001	6	41000502
500	1		1		10	3	10004	1
41000503	8000		1	83	2	12	3	20001
1	41000601	10000			5	1	10	3
10001	6	41000602	10000			67	2	10
3	10001	4	41000603	10000			67	2
10	3	10001	2	41000604	10000			5
1	12	3	20001	2	41000605	8000		1
83	2	12	3	20001	1	41000701	10000	
	5	1	10	3	10001	6	41000702	10000
		67	2	10	3	10001	4	41000703
10000			5	1	12	3	20001	2
41000704	8000		1	83	2	12	3	20001
1	41000801	5000		1	2		12	10
50001	2	41000802	10000			5	1	10
3	10001	6	41000803	10000			67	2
10	3	10001	4	41000804	10000			5
1	12	3	20001	2	41000805	8000		1
83	2	12	3	20001	1	41000901	10000	
	5	1	10	3	10001	6	41000902	10000
		67	2	10	3	10001	4	41000903
10000			5	1	12	3	20001	2
41000904	10000			67	2	12	3	20001
1	41000905	8000		1	83	2	12	3
20001	1	41001001	10000			5	1	10
3	10001	6	41001002	10000			67	2
10	3	10001	4	41001003	10000			67
2	10	3	10001	2	41001004	10000		
5	1	12	3	20001	2	41001005	10000	
	67	2	12	3	20001	1	41001006	8000
	1	83	2	12	3	20001	1	41001101
10000			5	1	10	3	10001	6
41001102	10000			67	2	10	3	10001
4	41001103	10000			5	1	12	3
20001	2	41001104	10000			67	2	12
3	20001	1	41001105	8000		1	83	2
12	3	20001	1	41001106	7000		1	67
2	12	3	20003	1	41001201	5000		1
2		12	10	50001	2	41001202	10000	
	5	1	10	3	10001	6	41001203	10000
		67	2	10	3	10001	4	41001204
10000			5	1	12	3	20001	2
41001205	10000			67	2	12	3	20001
1	41001206	8000		1	83	2	12	3
20001	1	41001207	7000		1	67	2	12
3	20003	1	41001301	10000			5	1
10	3	10001	6	41001302	10000			67
2	10	3	10001	4	41001303	10000		
5	1	12	3	20001	2	41001304	10000	
	67	2	12	3	20001	1	41001305	8000
	1	83	2	12	3	20001	1	41001306
7000		1	67	2	12	3	20003	1
41001401	10000			5	1	10	3	10001
6	41001402	10000			67	2	10	3
10001	4	41001403	10000			5	1	12
3	20001	2	41001404	10000			67	2
12	3	20001	1	41001405	8000		1	83
2	12	3	20001	1	41001406	7000		1
67	2	12	3	20003	1	41001501	10000	
	5	1	10	3	10001	6	41001502	10000
		67	2	10	3	10001	4	41001503
10000			5	1	12	3	20001	2
41001504	10000			67	2	12	3	20001
1	41001505	8000		1	83	2	12	3
20001	1	41001506	7000		1	67	2	12
3	20003	1	41001601	5000		1	2	
12	10	50001	2	41001602	10000			5
1	10	3	10001	6	41001603	10000		
67	2	10	3	10001	4	41001604	10000	
	5	1	12	3	20001	2	41001605	10000
		67	2	12	3	20001	1	41001606
8000		1	83	2	12	3	20001	1
41001607	7000		1	67	2	12	3	20003
1	41001701	10000			5	1	10	3
10001	6	41001702	10000			67	2	10
3	10001	4	41001703	10000			5	1
12	3	20001	2	41001704	10000			67
2	12	3	20001	1	41001705	8000		1
83	2	12	3	20001	1	41001706	7000	
1	67	2	12	3	20003	1	41001801	10000
		5	1	10	3	10001	6	41001802
10000			67	2	10	3	10001	4
41001803	10000			5	1	12	3	20001
2	41001804	10000			67	2	12	3
20001	1	41001805	8000		1	83	2	12
3	20001	1	41001806	7000		1	67	2
12	3	20003	1	41001901	10000			5
1	10	3	10001	6	41001902	10000		
67	2	10	3	10001	4	41001903	10000	
	5	1	12	3	20001	2	41001904	10000
		67	2	12	3	20001	1	41001905
8000		1	83	2	12	3	20001	1
41001906	7000		1	67	2	12	3	20003
1	41002001	10000			5	1	10	3
10001	6	41002002	10000			67	2	10
3	10001	4	41002003	10000			5	1
12	3	20001	2	41002004	10000			67
2	12	3	20001	1	41002005	8000		1
83	2	12	3	20001	1	41002006	7000	
1	67	2	12	3	20003	1	41100101	10000
		2		12	3	50001	1	41100102
10000			5	1	10	3	10001	6
41100103	10000			67	2	10	3	10001
4	41100104	8000		1	83	2	12	3
20001	1	41100201	10000			5	1	10
3	10001	6	41100202	10000			67	2
10	3	10001	4	41100203	6000		1	67
2	12	3	20002	2	41100204	8000		1
83	2	12	3	20001	1	41100301	10000	
	5	1	10	3	10001	6	41100302	10000
		67	2	10	3	10001	4	41100303
6000		1	67	2	12	3	20002	2
41100401	10000			5	1	10	3	10001
6	41100402	10000			67	2	10	3
10001	4	41100403	6000		1	67	2	12
3	20002	2	41100501	10000			5	1
10	3	10001	6	41100502	10000			67
2	10	3	10001	4	41100503	10000		
5	1	12	3	20001	2	41100504	8000	
1	83	2	12	3	20001	1	41100601	10000
		5	1	10	3	10001	6	41100602
10000			67	2	10	3	10001	4
41100603	10000			5	1	12	3	20001
2	41100604	10000			67	2	12	3
20001	1	41100605	8000		1	83	2	12
3	20001	1	41100701	10000			5	1
10	3	10001	6	41100702	6000		1	67
2	12	3	20002	2	41100703	10000		
5	1	12	3	20001	2	41100704	10000	
	67	2	12	3	20001	1	41100705	8000
	1	83	2	12	3	20001	1	41100801
10000			5	1	10	3	10001	6
41100802	6000		1	67	2	12	3	20002
2	41100803	10000			5	1	12	3
20001	2	41100804	10000			67	2	12
3	20001	1	41100805	8000		1	83	2
12	3	20001	1	41100901	10000			5
1	10	3	10001	6	41100902	6000		1
67	2	12	3	20002	2	41100903	10000	
	5	1	12	3	20001	2	41100904	10000
		67	2	12	3	20001	1	41100905
8000		1	83	2	12	3	20001	1
41100906	7000		1	67	2	12	3	20003
1	41101001	10000			5	1	10	3
10001	6	41101002	10000			67	2	10
3	10001	4	41101003	10000			5	1
12	3	20001	2	41101004	10000			67
2	12	3	20001	1	41101005	8000		1
83	2	12	3	20001	1	41101006	7000	
1	67	2	12	3	20003	1	41101101	10000
		5	1	10	3	10001	6	41101102
10000			67	2	10	3	10001	4
41101103	10000			5	1	12	3	20001
2	41101104	10000			67	2	12	3
20001	1	41101105	8000		1	83	2	12
3	20001	1	41101106	7000		1	67	2
12	3	20003	1	41101201	10000			5
1	10	3	10001	6	41101202	6000		1
67	2	12	3	20002	2	41101203	10000	
	5	1	12	3	20001	2	41101204	10000
		67	2	12	3	20001	1	41101205
8000		1	83	2	12	3	20001	1
41101206	7000		1	67	2	12	3	20003
1	41101301	10000			5	1	10	3
10001	6	41101302	10000			67	2	10
3	10001	4	41101303	6000		1	67	2
12	3	20002	2	41101304	10000			67
2	12	3	20001	1	41101305	8000		1
83	2	12	3	20001	1	41101306	7000	
1	67	2	12	3	20003	1	41101401	10000
		5	1	10	3	10001	6	41101402
6000		1	67	2	12	3	20002	2
41101403	10000			5	1	12	3	20001
2	41101404	10000			67	2	12	3
20001	1	41101405	8000		1	83	2	12
3	20001	1	41101406	7000		1	67	2
12	3	20003	1	41101501	10000			5
1	10	3	10001	6	41101502	10000		
67	2	10	3	10001	4	41101503	10000	
	5	1	12	3	20001	2	41101504	10000
		67	2	12	3	20001	1	41101505
8000		1	83	2	12	3	20001	1
41101506	7000		1	67	2	12	3	20003
1	41101601	10000			5	1	10	3
10001	6	41101602	10000			67	2	10
3	10001	4	41101603	10000			5	1
12	3	20001	2	41101604	10000			67
2	12	3	20001	1	41101605	8000		1
83	2	12	3	20001	1	41101606	7000	
1	67	2	12	3	20003	1	41101701	10000
		5	1	10	3	10001	6	41101702
10000			67	2	10	3	10001	4
41101703	6000		1	67	2	12	3	20002
2	41101704	10000			67	2	12	3
20001	1	41101705	8000		1	83	2	12
3	20001	1	41101706	7000		1	67	2
12	3	20003	1	41101801	10000			5
1	10	3	10001	6	41101802	6000		1
67	2	12	3	20002	2	41101803	10000	
	5	1	12	3	20001	2	41101804	10000
		67	2	12	3	20001	1	41101805
8000		1	83	2	12	3	20001	1
41101806	7000		1	67	2	12	3	20003
1	41101901	10000			5	1	10	3
10001	6	41101902	6000		1	67	2	12
3	20002	2	41101903	10000			5	1
12	3	20001	2	41101904	10000			67
2	12	3	20001	1	41101905	8000		1
83	2	12	3	20001	1	41101906	7000	
1	67	2	12	3	20003	1	41102001	10000
		5	1	10	3	10001	6	41102002
10000			67	2	10	3	10001	4
41102003	6000		1	67	2	12	3	20002
2	41102004	10000			67	2	12	3
20001	1	41102005	8000		1	83	2	12
3	20001	1	41102006	7000		1	67	2
12	3	20003	1	41200101	10000			2
	10	3	60001	1	41200102	10000		
2		12	3	50001	1	41200103	10000	
	5	1	10	3	10001	6	41200104	10000
		67	2	10	3	10001	4	41200105
8000		1	83	2	12	3	20001	1
41200201	10000			5	1	10	3	10001
6	41200202	10000			67	2	10	3
10001	4	41200203	6000		1	67	2	10
3	10002	2	41200204	8000		1	83	2
12	3	20001	1	41200301	10000			5
1	10	3	10001	6	41200302	10000		
67	2	10	3	10001	4	41200303	8000	
1	83	2	12	3	20001	1	41200401	10000
		5	1	10	3	10001	6	41200402
10000			67	2	10	3	10001	4
41200403	10000			5	1	12	3	20001
2	41200404	8000		1	83	2	12	3
20001	1	41200501	10000			5	1	10
3	10001	6	41200502	10000			67	2
10	3	10001	4	41200503	10000			5
1	12	3	20001	2	41200504	8000		1
83	2	12	3	20001	1	41200601	10000	
	5	1	10	3	10001	6	41200602	10000
		67	2	10	3	10001	4	41200603
10000			5	1	12	3	20001	2
41200604	10000			67	2	12	3	20001
1	41200605	8000		1	83	2	12	3
20001	1	41200701	10000			5	1	10
3	10001	6	41200702	10000			67	2
10	3	10001	4	41200703	10000			5
1	12	3	20001	2	41200704	10000		
67	2	12	3	20001	1	41200705	8000	
1	83	2	12	3	20001	1	41200801	10000
		5	1	10	3	10001	6	41200802
10000			67	2	10	3	10001	4
41200803	10000			5	1	12	3	20001
2	41200804	10000			67	2	12	3
20001	1	41200805	8000		1	83	2	12
3	20001	1	41200901	10000			5	1
10	3	10001	6	41200902	10000			67
2	10	3	10001	4	41200903	10000		
5	1	12	3	20001	2	41200904	10000	
	67	2	12	3	20001	1	41200905	8000
	1	83	2	12	3	20001	1	41200906
7000		1	67	2	12	3	20003	1
41201001	10000			5	1	10	3	10001
6	41201002	10000			67	2	10	3
10001	4	41201003	10000			5	1	12
3	20001	2	41201004	10000			67	2
12	3	20001	1	41201005	8000		1	83
2	12	3	20001	1	41201006	7000		1
67	2	12	3	20003	1	41201101	10000	
	5	1	10	3	10001	6	41201102	10000
		67	2	10	3	10001	4	41201103
10000			5	1	12	3	20001	2
41201104	10000			67	2	12	3	20001
1	41201105	8000		1	83	2	12	3
20001	1	41201106	7000		1	67	2	12
3	20003	1	41201201	10000			5	1
10	3	10001	6	41201202	10000			67
2	10	3	10001	4	41201203	10000		
5	1	12	3	20001	2	41201204	10000	
	67	2	12	3	20001	1	41201205	8000
	1	83	2	12	3	20001	1	41201206
7000		1	67	2	12	3	20003	1
41201301	10000			5	1	10	3	10001
6	41201302	10000			67	2	10	3
10001	4	41201303	10000			5	1	12
3	20001	2	41201304	10000			67	2
12	3	20001	1	41201305	8000		1	83
2	12	3	20001	1	41201306	7000		1
67	2	12	3	20003	1	41201401	10000	
	5	1	10	3	10001	6	41201402	10000
		67	2	10	3	10001	4	41201403
10000			5	1	12	3	20001	2
41201404	10000			67	2	12	3	20001
1	41201405	8000		1	83	2	12	3
20001	1	41201406	7000		1	67	2	12
3	20003	1	41201501	10000			5	1
10	3	10001	6	41201502	10000			67
2	10	3	10001	4	41201503	10000		
5	1	12	3	20001	2	41201504	10000	
	67	2	12	3	20001	1	41201505	8000
	1	83	2	12	3	20001	1	41201506
7000		1	67	2	12	3	20003	1
41201601	10000			5	1	10	3	10001
6	41201602	10000			67	2	10	3
10001	4	41201603	10000			5	1	12
3	20001	2	41201604	10000			67	2
12	3	20001	1	41201605	8000		1	83
2	12	3	20001	1	41201606	7000		1
67	2	12	3	20003	1	41201701	10000	
	5	1	10	3	10001	6	41201702	10000
		67	2	10	3	10001	4	41201703
10000			5	1	12	3	20001	2
41201704	10000			67	2	12	3	20001
1	41201705	8000		1	83	2	12	3
20001	1	41201706	7000		1	67	2	12
3	20003	1	41201801	10000			5	1
10	3	10001	6	41201802	10000			67
2	10	3	10001	4	41201803	10000		
5	1	12	3	20001	2	41201804	10000	
	67	2	12	3	20001	1	41201805	8000
	1	83	2	12	3	20001	1	41201806
7000		1	67	2	12	3	20003	1
41201901	10000			5	1	10	3	10001
6	41201902	10000			67	2	10	3
10001	4	41201903	10000			5	1	12
3	20001	2	41201904	10000			67	2
12	3	20001	1	41201905	8000		1	83
2	12	3	20001	1	41201906	7000		1
67	2	12	3	20003	1	41202001	10000	
	5	1	10	3	10001	6	41202002	10000
		67	2	10	3	10001	4	41202003
10000			5	1	12	3	20001	2
41202004	10000			67	2	12	3	20001
1	41202005	8000		1	83	2	12	3
20001	1	41202006	7000		1	67	2	12
3	20003	1	50100101	10000			133	2
10	3	10001	2	50100102	10000			1
	10	3	10001	3	50100103	6000		1
2		12	3	20001	1	50100104	4000	
1	2		12	3	30001	1	50100105	10000
		1		10	3	10001	3	50100201
10000			133	2	10	3	10001	2
50100202	10000			1		10	3	10001
3	50100203	6000		1	2		12	3
20001	1	50100204	4000		1	2		12
3	30001	1	50100205	10000			1	
10	3	10001	3	50100301	10000			133
2	10	3	10001	2	50100302	10000		
1		10	3	10001	3	50100303	6000	
1	2		12	3	20001	1	50100304	4000
	1	2		12	3	30001	1	50100305
10000			1		10	3	10001	3
50100401	10000			133	2	10	3	10001
2	50100402	10000			1		10	3
10001	3	50100403	6000		1	2		12
3	20001	1	50100404	4000		1	2	
12	3	30001	1	50100405	10000			1
	10	3	10001	3	50100501	10000		
133	2	10	3	10001	2	50100502	10000	
	1		10	3	10001	3	50100503	6000
	1	2		12	3	20001	1	50100504
4000		1	2		12	3	30001	1
50100505	10000			1		10	3	10001
3	50200101	10000			133	2	10	3
10001	2	50200102	10000			1		10
3	10001	3	50200103	6000		1	2	
12	3	20001	1	50200104	4000		1	2
	12	3	30001	1	50200105	10000		
1		10	3	10001	3	50200201	10000	
	133	2	10	3	10001	2	50200202	10000
		1		10	3	10001	3	50200203
6000		1	2		12	3	20001	1
50200204	4000		1	2		12	3	30001
1	50200205	10000			1		10	3
10001	3	50200301	10000			133	2	10
3	10001	2	50200302	10000			1	
10	3	10001	3	50200303	6000		1	2
	12	3	20001	1	50200304	4000		1
2		12	3	30001	1	50200305	10000	
	1		10	3	10001	3	50200401	10000
		133	2	10	3	10001	2	50200402
10000			1		10	3	10001	3
