Id	FightEvents	SystemEvents	Note
21243	[2253069]		肉鸽3.0-DLC-777套3-装备数值升级-耗70能量给支援
21244	[2253070]		肉鸽3.0-DLC-777套-套装-支援伤害提升
21251	[2253105]		肉鸽3.0-DLC-背水套1-装备数值升级-低血量加攻
21252	[2253106]		肉鸽3.0-DLC-背水套2-装备数值升级-低血量加减伤
21253	[2253107]		肉鸽3.0-DLC-背水套3-装备数值升级-低血量给盾
21254	[2253108]		肉鸽3.0-DLC-背水套-套装-数值提升
21261	[2253109]		肉鸽3.0-DLC-单次伤害套1-装备数值升级-三消单次伤害超阈值，额外伤害
21262	[2253110]		肉鸽3.0-DLC-单次伤害套2-装备数值升级-普攻单次伤害超阈值，额外伤害
21263	[2253111]		肉鸽3.0-DLC-单次伤害套3-装备数值升级-大招单次伤害超阈值，额外伤害
21264	[2253112]		肉鸽3.0-DLC-单次伤害套-套装-任意伤害超阈值，额外伤害
21271	[2253113]		肉鸽3.0-DLC-轮切套1-装备数值升级-切人加攻
21272	[2253114]		肉鸽3.0-DLC-轮切套2-装备数值升级-三消/大招减换人CD
21273	[2253115]		肉鸽3.0-DLC-轮切套-套装-加攻覆盖全队
21281	[2253071]		肉鸽3.0-DLC-暖机套1-装备数值升级-后台时获得前台属性
21282	[2253072]		肉鸽3.0-DLC-暖机套2-装备数值升级-QTE出场纪录伤害并额外打出
21283	[2253073]		肉鸽3.0-DLC-暖机套-套装-自身出场也纪录伤害，离场打出
21291	[2253101]		肉鸽3.0-DLC-空元素套1-装备数值升级-空元素伤害提升
21292	[2253102]		肉鸽3.0-DLC-空元素套2-装备数值升级-附加空元素伤害
21293	[2253103]		肉鸽3.0-DLC-空元素套3-装备数值升级-攻击降低空元素抗性
21294	[2253104]		肉鸽3.0-DLC-空元素套-套装-降低怪物空元素弱点
21301	[2252020]	[21301]	肉鸽3.0-DLC-独行套1-装备升级-招募能量加伤
21302	[2252021]	[21302]	肉鸽3.0-DLC-独行套2-装备升级-招募能量加血
21303	[2252022]	[21303]	肉鸽3.0-DLC-独行套3-装备升级-招募能量加敌人元素弱点
21304	[2252023]		肉鸽3.0-DLC-独行套-装备升级-套装标记-单件效果大幅提升
21311	[2252027]		肉鸽3.0-DLC-护盾套1-装备升级-打人得盾
21312	[2252028]		肉鸽3.0-DLC-护盾套2-装备升级-打人碎盾附加护盾伤害
21313	[2252029]		肉鸽3.0-DLC-护盾套3-装备升级-挨打附加护盾伤害
21314	[2252030]		肉鸽3.0-DLC-护盾套-装备升级-套装-加速叠盾效率
21321	[2252031]	[21321]	肉鸽3.0-DLC-召唤套1-装备升级-召唤机械体光环加攻
21322	[2252032]	[21322]	肉鸽3.0-DLC-召唤套2-装备升级-召唤机械体光环减伤
21323	[2252033]	[21323]	肉鸽3.0-DLC-召唤套3-装备升级-召唤机械体永生程序
21324	[2252034]		肉鸽3.0-DLC-召唤套-装备升级-套装-机械体额外升级机制-叠加替换怪物
21331	[2252035]		肉鸽3.0-DLC-位移套1-装备升级-位移回血且血转盾
21332	[2252036]		肉鸽3.0-DLC-位移套2-装备升级-位移根据距离造成伤害
21333	[2252037]		肉鸽3.0-DLC-位移套3-装备升级-位移获得伤害加成
21334	[2252038]		肉鸽3.0-DLC-位移套-装备升级-套装-位移留下火环
21341	[2252024]		肉鸽3.0-DLC-减速套1-装备升级-QTE出领域
21342	[2252025]		肉鸽3.0-DLC-减速套2-装备升级-领域内打人减QTECD-增加超加速效果
21343	[2252026]		肉鸽3.0-DLC-减速套-装备升级-套装-领域结算额外比例伤害
30001	[2251304]		肉鸽3.0外循环-生命值+5%
30002		[30002]	肉鸽3.0外循环-初始金币+50
30003	[2251301]		肉鸽3.0外循环-攻击力+50
30004		[30004]	肉鸽3.0外循环-初始金币+50
30005	[2251305]		肉鸽3.0外循环-防御+500
30006		[30006]	肉鸽3.0外循环-初始招募能量+1
30007	[2251301]		肉鸽3.0外循环-攻击力+50
30008	[2251303]		肉鸽3.0外循环-生命值+500
30009	[2251305]		肉鸽3.0外循环-防御+500
30010	[2251301]		肉鸽3.0外循环-攻击力+50
30011		[30011]	肉鸽3.0外循环-初始金币+50
30012		[300121, 300122, 300123]	肉鸽3.0外循环-游戏开始时，额外获得一个随机道具
30013	[2251304]		肉鸽3.0外循环-生命值+5%
30014	[2251307]		肉鸽3.0外循环-攻击力+5%
30015		[30015]	肉鸽3.0外循环-商店折扣位置+1
30016	[2251301]		肉鸽3.0外循环-攻击力+50
30017		[30017]	肉鸽3.0外循环-所有成员装备负重+1
30018	[2251301]		肉鸽3.0外循环-攻击力+50
30019	[2251305]		肉鸽3.0外循环-防御+500
30020	[2251303]		肉鸽3.0外循环-生命值+500
30021	[2251302]		肉鸽3.0外循环-全属性伤害+15%
30022	[2251304]		肉鸽3.0外循环-生命值+5%
30023		[30023]	肉鸽3.0外循环-初始金币+50
30025		[30025]	肉鸽3.0外循环-初始金币+50
30026	[2251306]		肉鸽3.0外循环-额外伤害加成+5%
30027	[2251301]		肉鸽3.0外循环-攻击力+50
30028		[30028]	肉鸽3.0外循环-初始金币+50
30029	[2251303]		肉鸽3.0外循环-生命值+500
30030		[30030]	肉鸽3.0外循环-初始招募能量+1
30101	[2251316]		肉鸽3.0外循环-生命值+3%
30102		[30102]	肉鸽3.0外循环-初始金币+30
30103	[2251313]		肉鸽3.0外循环-攻击力+30
30104		[30104]	肉鸽3.0外循环-初始金币+30
30105	[2251313]		肉鸽3.0外循环-攻击力+30
30106	[2251311]		肉鸽3.0外循环-生命值+8%
30107	[2251313]		肉鸽3.0外循环-攻击力+30
30108	[2251315]		肉鸽3.0外循环-生命值+250
30109	[2251313]		肉鸽3.0外循环-攻击力+30
30110	[2251313]		肉鸽3.0外循环-攻击力+30
30111		[30111]	肉鸽3.0外循环-初始金币+30
30112		[30112]	肉鸽3.0外循环-装备箱免费刷新次数+1
30113	[2251316]		肉鸽3.0外循环-生命值+3%
30114	[2251319]		肉鸽3.0外循环-攻击力+3%
30115			肉鸽3.0外循环-量子装备事件出现权重提高
30116	[2251313]		肉鸽3.0外循环-攻击力+30
30117	[2251320]		肉鸽3.0外循环-正量化buff持续时间-10s，逆量化buff持续时间+10s
30118	[2251313]		肉鸽3.0外循环-攻击力+30
30119	[2251313]		肉鸽3.0外循环-攻击力+30
30120	[2251315]		肉鸽3.0外循环-生命值+250
30121	[2251314]		肉鸽3.0外循环-全属性伤害+10%
30122	[2251316]		肉鸽3.0外循环-生命值+3%
30123		[30123]	肉鸽3.0外循环-初始金币+30
30125		[30125]	肉鸽3.0外循环-初始金币+30
30126	[2251318]		肉鸽3.0外循环-额外伤害加成+3%
30127	[2251313]		肉鸽3.0外循环-攻击力+30
30128		[30128]	肉鸽3.0外循环-初始金币+30
30129	[2251315]		肉鸽3.0外循环-生命值+250
30130	[2251312]		肉鸽3.0外循环-生命值+600
30131		[30131]	肉鸽3.0外循环-装备箱付费刷新价格-50%
31001	[2251308]		肉鸽3.0外循环-角色精通-结局1-攻击+10%
31002	[2251309]		肉鸽3.0外循环-角色精通-结局2-额外伤害加成+10%
31003	[2251321]		肉鸽3.0外循环-角色精通-结局3-敌人全属性弱点率+10%
31004	[2251322]		肉鸽3.0外循环-角色精通-结局4-敌人全属性抗性-10%
31005	[2251323]		肉鸽3.0外循环-角色精通-结局5-物理&全元素伤害+10%
40001	[2251250]		肉鸽3.0-DLC-α量子效果-穿甲暴击
40002	[2251251]		肉鸽3.0-DLC-α量子效果-正量化词缀
40003	[2251252]		肉鸽3.0-DLC-β量子效果-穿甲加抗
40004	[2251253]		肉鸽3.0-DLC-β量子效果-逆量化词缀
99001		[99001, 99002, 99003]	10点双值，招募能量+1
99002	[2252144]	[99995]	去除负面藏品
99004		[99004]	5-10点α量子值
99005		[99005]	5-10点β量子值
99006		[99006]	10-15点α量子值
99007		[99007]	10-15点β量子值
99017	[2251254]		受到伤害时，移动速度-30%
99018		[110054]	工坊重铸次数+1
99019	[2251256]		受到的伤害不超过最大生命值40%
99020	[2251257]		敌方生命值高于50%时，敌方攻击力-30%
99021	[2251258]		敌方生命值低于50%时，敌方受到伤害+50%
99022	[2251259]		造成伤害时，额外造成攻击*1000%的6种属性伤害，冷却2秒
99023		[99008]	获得500算力单元
99024	[2251261]		受到攻击时，治疗全队5%最大生命值，冷却2秒
99025	[2251262]		进入超算时，移动速度+40%，叠加上限200%；
99026	[2251263]		进入超算时，获得最大生命值20%的护盾，持续10秒
99027	[2251264]		进入超算时，攻击力+30%，叠加上限120%
99028	[2251265]		进入超算时，对敌方造成已损失生命值20%的真实伤害，冷却8秒
99029	[2251266]		可在【天台扭蛋机】进行作弊
99030	[2251267]		QTE伤害+1000%
99991		[99991, 99993]	肉鸽β路线开启并切换到β路线
99992		[99992]	肉鸽β路线关闭
99993		[99993]	切换当前路线
99994		[99994]	量子化套装加值
99995	[2251427]		肉鸽声音滤镜效果
99996		[110052, 99992]	切线然后关闭路线
99031		[99001, 99002]	投影仪升级加值
99032		[110051]	邀请函加值
99033		[110050]	印章加值
99034		[110050, 110051]	双色密钥加值
99035		[110050, 110051]	大剑加值
99036	[2251428]		黑色骰子-强化攻击
99037	[2251429]		稳态指针-回血
99038		[110053]	高维锚点
99039	[2251247]		连战标记
