Id	Name	Type	BuffId	BuffIds	Desc	DescTimeType	Icon	ScreenMaskType	ControlType	ShowCountdown	HintText	HintTextTimeType	EnergyCost	AddEnergyType	AddEnergyCount	SkillParam	SkillParams	ScoreFactor	LowerLimit	UpperLimit	SkillComboType	SkillAttributeFactor
511	自选强化	8		[5001, 5002, 5003, 5004]	自选1种球，增加其200%伤害，持续1回合，冷却3回合	自选1种球，增加其200%伤害，持续5秒，冷却10秒	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	选择一种球，强化其200%伤害1回合，<color=#E3432A>冷却3回合</color>	选择一种球，强化其200%伤害5秒，<color=#E3432A>冷却10秒</color>										
512	消除行列	11			选择指定球后消除对应所在的行与列，冷却3回合	选择指定球后消除对应所在的行与列，冷却10秒	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	选择一个球，消除其所在的行与列，<color=#E3432A>冷却3回合</color>	选择一个球，消除其所在的行与列，<color=#E3432A>冷却10秒</color>										
513	同色全消	3			消除指定颜色的所有信号球，冷却3回合	消除指定颜色的所有信号球，冷却10秒	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	选择要消除的颜色，<color=#E3432A>冷却3回合</color>	选择要消除的颜色，<color=#E3432A>冷却10秒</color>										
514	单球扭转	4			改变1种球的颜色，冷却5回合	改变1种球的颜色，冷却15秒	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2	2	1	选择要改变的颜色，<color=#E3432A>冷却5回合</color>	选择要改变的颜色，<color=#E3432A>冷却15秒</color>										
515	单球互换	5			交换任意2个球，冷却4回合	交换任意2个球，冷却12秒	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	选择要交换的两个球，<color=#E3432A>冷却4回合</color>	选择要交换的两个球，<color=#E3432A>冷却12秒</color>										
516	时数拓展	6		[5005]	增加1次行动机会，冷却5回合	增加5秒行动时间，冷却15秒	Assets/Product/Texture/Image/IconAffix/AffixIconTime.png	1		1	点击增加1次行动机会，<color=#E3432A>冷却5回合</color>	点击增加5秒行动时间，<color=#E3432A>冷却15秒</color>										
517	全列互换	33			交换任意2列球，冷却4回合	交换任意2列球，冷却12秒	Assets/Product/Texture/Image/IconAffix/AffixIconChange.png	2	3	1	选择要交换的两列球，<color=#fb9048>冷却4回合</color>	选择要交换的两列球，<color=#fb9048>冷却12秒</color>										
518	炸弹消	35																				
519	随机消除4个	21															[4]					
520	消除颜色最多	34																				
601	全析破解	117			将随机4个信号球变为道具，冷却5回合	将随机4个信号球变为道具	Assets/Product/Texture/Image/IconSkill/R2Buouxiongdazhao1.png	2	1	1	点击球盘释放技能，生成<color=#E3432A>4个</color>随机道具，<color=#E3432A>冷却6回合</color>	点击球盘释放技能，生成<color=#E3432A>4个</color>随机道具，<color=#E3432A>冷却6秒</color>	20				[620201, 620202, 620203, 620204]	1.0				
602	界域崩解	112		[6101, 6102, 6103, 6104]	下落的10个球改为指定颜色，冷却4回合	下落的10个球改为指定颜色	Assets/Product/Texture/Image/IconSkill/R4Liangdazhao1.png	6		1	点击球盘释放技能，将下落的<color=#E3432A>10个</color>球改为指定颜色，<color=#fb9048>冷却6回合</color>	将下落的10个球改为指定颜色，<color=#fb9048>冷却8秒</color>	20					1.0				
603	无线牢笼	114		[6111]	自选指定颜色球进行消除，且未来10个球将不出现对应颜色，冷却4回合	自选指定颜色球进行消除，且未来10个球将不出现对应颜色，冷却6秒。	Assets/Product/Texture/Image/IconSkill/R2Bangbinatadazhao1.png	6		1	选择一种球进行消除，未来<color=#E3432A>10个</color>球将不出现对应颜色，<color=#CD6CFF>冷却4回合</color>	选择一种球进行消除，未来10个球将不出现对应颜色，<color=#CD6CFF>冷却5秒</color>	35					1.0				
604	启星册魂	113			触发球盘上的所有道具，冷却5回合	触发球盘上的所有道具，冷却6回合	Assets/Product/Texture/Image/IconSkill/R3Qudazhao1.png	2	1	1	点击球盘释放技能，触发球盘上的<color=#E3432A>所有道具</color>，<color=#fb9048>冷却5回合</color>	点击球盘释放技能，触发球盘上的所有道具，<color=#fb9048>冷却6秒</color>	20					1.0				
605	沉渊终局	120			将球盘全部重新随机排列，冷却4回合	将球盘全部重新随机排列，冷却4回合	Assets/Product/Texture/Image/IconSkill/R3Lamiyadazhao1.png	2	1	1	点击球盘释放技能，将球盘全部重新<color=#E3432A>随机排列</color>，<color=#E3432A>冷却4回合</color>	点击球盘释放技能，将球盘全部重新<color=#E3432A>随机排列</color>，<color=#E3432A>冷却4回合</color>	20					1.0				
606	耀枪贯闪	115			在球盘内随机生成3次雷击，每次雷击将产生九宫格范围消除，冷却6回合	在球盘内随机生成3次雷击，每次雷击将产生九宫格范围消除，冷却6回合	Assets/Product/Texture/Image/IconSkill/R3Weiladazhao1.png	2	1	1	点击球盘释放技能，生成<color=#E3432A>3次</color>雷击，<color=#E3432A>冷却6回合</color>	点击球盘释放技能，生成<color=#E3432A>3次</color>雷击，<color=#E3432A>冷却20秒</color>	25			3		1.0				
607	天刻宏耀之锋	118			生成两束宽度为3格的横纵光波，对覆盖区域产生消除，冷却5回合	在球盘内生成两束横纵光波，对覆盖区域产生消除，冷却15秒	Assets/Product/Texture/Image/IconSkill/R3Yalishadazhao1.png	2	1	1	点击球盘释放技能，生成<color=#E3432A>两束</color>横纵光波，<color=#E3432A>冷却5回合</color>	点击球盘释放技能，生成<color=#E3432A>两束</color>横纵光波，<color=#E3432A>冷却15秒</color>	30			3		1.0				
611	星星	104															[12]	1.0				
612	斩击	107																1.0				
613	炸弹	103																1.0				
614	手枪	105															[4]	1.0				
615	星星（曲特供）	104															[12]	1.5				
616	斩击（曲特供）	107																1.5				
617	炸弹（曲特供）	103																1.5				
618	手枪（曲特供）	105															[4]	1.5				
631	未元投影体召唤物击破	108		[6001, 6002, 6003, 6004]														1.0				
632	未元投影体召唤物击破2	108		[6011, 6012, 6013, 6014]														1.0				
641	芬里尔召唤物击破	106																1.0				
651	噬月异种召唤物击破	107																1.0				
661	鲨碧召唤物击破	110																1.0				
671	杀神击破	106																1.0				
672	诛魔击破	107																1.0				
673	斩仙击破	110																1.0				
681	红桃击破	108		[6041]														1.0				
682	黑桃击破	108		[6042]														1.0				
683	方块击破	108		[6043]														1.0				
684	梅花击破	108		[6044]														1.0				
