Id	ConditionId	BornMagic	EnemyBornMagic	PartnerBornMagic	Description
90704		[770241]			有清理部队成员上阵时，每次闪避敌人后将有30%的概率获得1个信号球
90705		[770242]			有清理部队成员上阵时，能量将每5S额外增加10点有清理部队成员上阵时，与敌人距离大于5M，造成的伤害增加30%
90706		[770244]			有清理部队成员上阵时，与敌人距离大于5M，造成的伤害增加30%
90801		[770200]			无从属成员伤害增加10%
90802		[770202]			无从属成员伤害增加15%
90803		[770246]			无从属成员防御增加40%
90804		[770247]			有无丛属成员上阵时，30%概率格挡1次伤害，格挡成功后5s内不受任何伤害，CD15s
90805		[770249]			有无从属成员上阵时，将获得生命值20%的护盾，护盾每隔30S获得1次
90806		[770251]			有无丛属成员上阵时，20%概率抵挡1次伤害，攻击敌人200%，CD15S
90901		[770200]			成员伤害增加10%
90902		[770202]			成员伤害增加15%
90903		[770253]			每次三消触发QTE时，会同时触发两个场下角色的QTE
90904		[770256]			QTE出场将会给在场角色立即增加一个信号球
90905		[770257]			qte冷却时间减少3S
91001		[770200]			成员伤害增加10%
91002		[770202]			成员伤害增加15%
91003		[770324]			释放出场技能后立刻获得2信号球
91004		[770325]			释放出场技后获得伤害提升15%，持续10S
92101		[770258]			物理伤害增加10%
92102		[770258]			物理伤害增加10%
92103		[770259]			普通攻击敌人时有10%概率召唤能量长矛（半径2米以内）攻击，造成200%的物理伤害。（冷却8秒）。
92104		[770261]			有物理成员上阵时，全队暴击几率提升10%
92201		[770262]			火系伤害增加10%
92202		[770262]			火系伤害增加10%
92203		[770263]			火系攻击时会有20%概率点燃目标，目标将受到本次伤害转化的50%的火系伤害，持续10S；（冷却8秒）。
92204			[770266]		有火系成员上阵时，敌方将降低40%火系抗性
92301		[770267]			冰系伤害增加10%
92302		[770267]			冰系伤害增加10%
92303		[770268]			冰系攻击时会有10%概率冰冻目标，冰冻持续2S，冰冻期间冰抗降低20%；（冷却8秒）。
92304			[770271]		有冰系成员上阵时，敌方将降低40%冰系抗性
92401		[770272]			雷系伤害增加10%
92402		[770272]			雷系伤害增加10%
92403		[770273]			雷系攻击时会有20%概率触发1条跳跃闪电链，闪电链最多跳跃5次，每次跳跃衰减10%的伤害（冷却8秒）
92404			[770279]		有雷系成员上阵时，敌方将降低40%雷系抗性
92501		[770280]			暗系伤害增加10%
92502		[770280]			暗系伤害增加10%
92503		[770281]			暗攻击时会有10%概率触发暗能爆发，全地图所有敌人将受到100%的暗系伤害，并原地禁锢5s
92504			[770284]		有暗系成员上阵时，敌方将降低40%暗系抗性
93101		[770285]			队伍成员攻击增加5%
93102		[770286]			进入战斗后每10秒获得1次特殊攻击，此特殊攻击将对目标附加环，环达到3个则产生一个爆炸伤害，造成300%的物理伤害。（特效修改）
93103		[770291]			进攻型成员QTE登场时，QTE伤害增强200%
93104		[770293]			每次释放必杀技时，将会随机从队伍中召唤1名进攻型成员上阵，且该队伍会释放对应必杀技能，释放完毕后下场，20sCD
93201		[770295]			队伍成员防御增加30%
93202		[770296]			进入战斗后每15秒获得生命值10%的护盾，护盾不可累加
93203		[770298]			装甲型成员QTE登场时，将对目标造成20%的额外护甲降低，持续10S
93204		[770300]			受到必死伤害时，将会免疫此伤害，并获得100%血量的护盾。并召唤队伍中的1名装甲型成员上阵，该成员将会作战30S，支援成员在场时作战成员防御提升30%，此效果CD60s；
93301		[770305]			队伍成员生命增加15%
93302		[770306]			进入战斗后每10秒恢复5%生命值
93303		[770308]			辅助型成员QTE登场时，将增加作战成员40% 的伤害，持续10S
93304		[770310]			"""每隔20S，整个队伍中未上阵的辅助型角色将作为支援单位登场协助战斗,支援行为将持续10S，支援登场时作战单位恢复50%的血量，支援期间，作战单位伤害提升20%,支援单位也会对敌人造成伤害，每个辅助角色只能支援1次"""
93305		[770355]			全队成员生命值增加2500
93306		[770359]			攻击力增加200
93307		[770356]			全队成员生命值增加5000
93308		[770360]			攻击力增加400
93309		[770357]			全队成员生命值增加7500
93310		[770361]			攻击力增加600
93311		[770358]			全队成员生命值增加10000
93312		[770362]			攻击力增加1000
93313		[770364]			全队成员每次攻击额外附加100点物理伤害
93314		[770365]			全队成员每次攻击额外附加300点物理伤害
93315		[770366]			全队成员每次攻击额外附加600点物理伤害
93316		[770367]			全队成员每次攻击额外附加1000点物理伤害
93317		[770372]			全员闪避值恢复速度提高25%
93318		[770376]			"""极限闪避后获得10%额外伤害加成,持续5秒"""
93319		[770373]			全员闪避值恢复速度提高50%
93320		[770377]			"""极限闪避后获得20%额外伤害加成,持续5秒"""
93321		[770374]			全员闪避值恢复速度提高75%
93322		[770378]			"""极限闪避后获得30%额外伤害加成,持续5秒"""
93323		[770375]			全员闪避值恢复速度提高100%
93324		[770379]			"""极限闪避后获得40%额外伤害加成,持续5秒"""
93325		[770382]			进入战斗时获得总血量30%的护盾，每隔150S刷新1次
93326		[770383]			进入战斗时获得总血量60%的护盾，每隔150S刷新1次
93327		[770384]			进入战斗时获得总血量80%的护盾，每隔150S刷新1次
93328		[770385]			进入战斗时获得总血量100%的护盾，每隔75S刷新1次
93329		[770397]			每隔10秒将呼叫卫星向目标发射超能光束，对目标范围造成2000点真实伤害
93330		[770398]			每隔10秒将呼叫卫星向目标发射超能光束，对目标范围造成4000点真实伤害
93331		[770399]			每隔10秒将呼叫卫星向目标发射超能光束，对目标范围造成6000点真实伤害
93332		[770400]			每隔10秒将呼叫卫星向目标发射超能光束，对目标范围造成10000点真实伤害
93333		[770413]			进入战斗时将招募2名B级中立构造体单位进行助战
93334		[770414]			进入战斗时将招募2名A级中立构造体单位进行助战
93335		[770415]			进入战斗时将招募2名S级中立构造体单位进行助战
93336		[770416]			进入战斗时将招募2名SS级中立构造体单位进行助战
93337		[770386]			消球时回复的大招能量将增加1点
93338		[770387]			消球时回复的大招能量将增加2点
93339		[770387, 770390]			消球和普通攻击回复的大招能量将增加2点
93340		[770388, 770391]			消球和普通攻击回复的大招能量将增加3点
93341		[770483]			全队成员的三消伤害提高20%
93342		[770484]			全队成员的三消伤害提高35%
93343		[770485]			全队成员的三消伤害提高50%
93344		[770481]			全队成员的单消和二消将视为三消
93345		[770392]			每隔15秒将恢复1个随机信号球
93346		[770393]			每隔15秒将恢复2个随机信号球
93347		[770394]			每隔15秒将恢复2个随机信号球
93348		[770395]			每隔10秒将恢复3个随机信号球
93349		[770486]			战斗中将拟态低级至尊替换作战成员进行战斗，30秒后拟态失效
93350		[770497]			配合93349调整小怪等级
93351		[770498]			配合93349调整小怪等级
93352		[770499]			配合93349调整小怪等级
93353		[770401]			连续消除同种信号球时，获得10%额外伤害加成，持续5秒，最多叠加3层
93354		[770402]			连续消除同种信号球时，获得10%额外伤害加成，持续5秒，最多叠加5层
93355		[770403]			连续消除同种信号球时，获得10%额外伤害加成，持续5秒，最多叠加8层
93356		[770404]			连续消除同种信号球时，获得10%额外伤害加成，持续5秒，无叠加上限
93357		[770445]			物理伤害增加10%
93358		[770446]			物理伤害增加20%
93359		[770447]			物理伤害增加30%
93360		[770448]			物理伤害增加40%
93361		[770449]			暴击率提升20%
93362		[770450]			火系伤害增加10%
93363		[770451]			火系伤害增加20%
93364		[770452]			火系伤害增加30%
93365		[770453]			火系伤害增加40%
93366			[770454]		敌方将降低20%火系抗性
93367		[770455]			冰系伤害增加10%
93368		[770456]			冰系伤害增加20%
93369		[770457]			冰系伤害增加30%
93370		[770458]			冰系伤害增加40%
93371			[770459]		敌方将降低20%冰系抗性
93372		[770460]			雷系伤害增加10%
93373		[770461]			雷系伤害增加20%
93374		[770462]			雷系伤害增加30%
93375		[770463]			雷系伤害增加40%
93376			[770464]		敌方将降低20%雷系抗性
93377		[770465]			暗系伤害增加10%
93378		[770466]			暗系伤害增加20%
93379		[770467]			暗系伤害增加30%
93380		[770468]			暗系伤害增加40%
93381			[770469]		敌方将降低20%暗系抗性
93382		[770418]			消球伤害增加25%
93383		[770419]			消球伤害增加50%
93384		[770420]			消球伤害增加75%
93385		[770421]			消球伤害增加100%
93386		[770425]			获得1层能抵挡1次攻击的护盾，每25秒重置层数，破盾目标受伤提高20%，持续10秒
93387		[770428]			获得2层能抵挡1次攻击的护盾，每20秒重置层数，破盾目标受伤提高30%，持续10秒
93388		[770431]			获得3层能抵挡1次攻击的护盾，每15秒重置层数，破盾目标受伤提高40%，持续10秒
93389		[770434]			获得4层能抵挡1次攻击的护盾，每10秒重置层数，破盾目标受伤提高50%，持续10秒
93390		[770439]			治疗溢出转化为200%的伤害
93391		[770440]			治疗溢出转化为300%的伤害
93392		[770441]			治疗溢出转化为400%的伤害
93393		[770438]			治疗效果提升50%
95001		[770313]			上阵3个不同作战系的成员，可让上阵成员的伤害提升50%
95002		[999925]			作战成员上阵20S后需要进行更换，否则无法进行战斗
95003		[770316]			上阵3个具有元素伤害的成员，将提升50%的元素伤害
95004		[770317]			所有上阵成员，每S将扣除2%的生命
95005		[770318]			上阵3个装甲系的成员，将提升100%的伤害
95006		[770319]			成员闪避条的恢复速度将减少80%
95007		[770320]			每次切换登场的成员将获得50%的伤害增强，持续10s
95008		[770322]			成员每次受到攻击后，下次攻击的伤害将增加20%，累计上限200%
95009		[770478]			上阵构造体每拥有一种不同的能量类型时，可获得20%额外伤害加成
95010		[770479]			上阵构造体每拥有一种不同的能量类型时，可获得40%额外伤害加成
95011		[770480]			上阵构造体每拥有一种不同的能量类型时，可获得60%额外伤害加成
95012		[770340]			当前作战成员造成的伤害将随时间持续降低，10秒后降低30%，20秒后降低50%，换人后将重置
95013		[770341]			当前作战成员造成的伤害将随时间持续降低，10秒后降低30%，20秒后降低50%，换人后将重置
95014		[770343]			当前作战成员每停留在场上10秒，可获得25%额外伤害加成与10%额外伤害减免，该效果最多叠加四层，换人后将清空
95015		[770344]			当前作战成员每停留在场上10秒，可获得25%额外伤害加成与10%额外伤害减免，该效果最多叠加四层，换人后将清空
95016		[770347]			战斗中的换人冷却时间延长10秒
95017		[770348]			角色当前血量百分比越高时，所造成的伤害越高，满血时伤害将提高75%
95018		[770350]			进入关卡后，每名角色的当前血量将下降至50%
95019		[770352, 770473]			护盾获取量翻倍，且单位拥有护盾时，将获得100%额外伤害加成
95020		[770473]			护盾获取量翻倍，且单位拥有护盾时，将获得100%额外伤害加成
95021		[770354]			治疗效果减半
96001		[770327]			成员伤害提升45%
96002		[770328]			成员伤害提升80%
96003		[770329]			成员伤害提升100%
96101		[772401]			每隔10秒将呼叫卫星向目标发射超能光束，对目标范围造成2000点真实伤害
96102		[772403]			成员每秒回复1.5%的总生命值
96103			[772400]		敌人受到必杀攻击时眩晕2s
96104		[700901, 700902]			成员获得20%的伤害减免
96105		[772405]			队伍成员连续消除同种信号球时，获得10%额外伤害加成，持续15秒，无叠加上限
96106		[772408]			成员释放必杀技能后，获得10秒的霸体效果和额外伤害加成增加20%
97101		[772541]	[772541]		敌我的血量增加1倍，且伤害降低50%
97102		[772544]			场地中将随机召唤火焰风暴，对敌我造成巨额伤害
97103		[772546, 779301]			我方只有队长进行对战
97104			[772548]		敌人将无视超算，在超算空间将受到额外伤害
97105		[772550]	[772550]		敌我每次收到伤害将额外附加1000点真实伤害
97106		[772551]	[772551]		敌我单位死亡后将会自爆对周围造成20%最大生命值伤害
97107		[772553]	[772553]		敌我造成的额外治疗将会转化为100%伤害，治疗效果增加100%
97108		[772555]			本场战斗中的操作反向
97109		[772556]			每次释放蓝色球技能，将会召唤1个闪电落下来
97110		[772559]			每次释放黄色球技能，将会召唤1个闪电落下来
97111		[772558]			每次释放红色球技能，将会召唤1个闪电落下来
97112		[772560]	[772560]		全场所有单位每S将减少2%的血量，且治疗效果降低50%
97113		[772563]	[772563]		敌我受到致命伤害时免疫死亡，并恢复100%血量的护盾，此护盾将每S缩减20%。
97114		[700027]			队伍成员在本场中获得霸体
97115		[772575]	[772575]		当敌我受到致命伤害时不会立刻死亡，再命运判定后将有50%的复活到满血，50%的概率死亡。
97116		[772566]			场地内将召唤攻防2个移动立场，处于攻击立场的单位将提升100%的攻击，持续20s，且在立场内每隔30S获得1次；处于防御场的单位将会获得5层免伤持续60S，且在立场内每隔30S获得1次
97117		[778001]			所有队伍成员生命上限为1点
97118			[778014]		敌人造成伤害后，对受伤目标施加生命流失效果，每秒流失3%最大生命值，持续时间无限
97119			[778021]		敌人受到伤害时，会将所受伤害平均分摊到所有敌人身上
97120		[778031]	[778031]		敌我受到致命伤害时，立即回复所有生命值并大幅提升移速与全伤害，但每秒会损失10%最大生命
97121		[778041]	[778041]		当敌我受到致命伤害时以100%概率回复50%最大生命；每次触发后，触发概率降低30%
97122			[778051]		所有敌人随机免疫1种信号球造成的伤害
97123			[778051]		所有敌人随机免疫2种信号球造成的伤害
97124		[778061]			闪避需要消耗一个信号球，否则无法闪避；释放必杀时，随机获得一个信号球
97125			[750949]		敌人造成伤害后，回复自身10%的最大生命值
97126		[778111]			普通攻击不再获得信号球；每次闪避后，获得一个信号球
97127		[778121]	[778121]		敌我单位死亡时，场上所有剩余单位获得20%的全伤害提升，并降低20%全伤害减免
97128		[760201]			所有成员额外伤害减免提升30%
97129		[760202]			所有成员额外伤害减免提升45%
97130		[760203]			所有成员额外伤害减免提升60%
97151			[742341]		所有敌人的总血量将永久降低10%
97152			[742342]		所有敌人的总血量将永久降低15%
97153			[742306]		所有敌人的总血量将永久降低20%
97154			[742343]		所有敌人的总血量将永久降低25%
97161		[742351]			每击杀20只，副本延长5S，最多触发10次
97162		[742352]			每击杀20只，副本延长10S，最多触发10次
97163		[742353]			每击杀15只，副本延长10S，最多触发10次
97164		[742354]			每击杀10只，副本延长10S，最多触发10次
97165			[742361]		每击杀1只，有10%概率额外多计算1只
97166			[742362]		每击杀1只，有15%概率额外多计算1只
97167			[742363]		每击杀1只，有20%概率额外多计算1只
97168			[742364]		每击杀1只，有25%概率额外多计算1只
97171			[772610]		敌人死亡后有20%的概率随机掉落1个球
97172			[772611]		敌人死亡后有30%的概率随机掉落2个球
97173			[772612]		敌人死亡后有50%的概率随机掉落2个球
97174			[772613]		敌人死亡后有50%的概率随机掉落3个球
97175		[772614]			连击每达到40下，以自身为中心，半径5米释放造成300%物理伤害的冲击波
97176		[772615]			连击每达到30下，以自身为中心，半径5米释放造成300%物理伤害的冲击波
97177		[772616]			连击每达到20下，以自身为中心，半径5米释放造成300%物理伤害的冲击波
97178		[772617]			连击每达到20下，以自身为中心，半径5米释放造成500%物理伤害的冲击波
97179		[772623]			攻击附加100点物理伤害
97180		[772624]			攻击附加200点物理伤害
97181		[772625]			攻击附加300点物理伤害
97182		[772626]			攻击附加400点物理伤害
97183		[772627]			以角色为中心，每20S释放1个弱效黑洞
97184		[772628]			以角色为中心，每15S释放1个弱效黑洞
97185		[772629]			以角色为中心，每10S释放1个弱效黑洞
97186		[772630]			以角色为中心，每5S释放1个强大的黑洞
97187		[772639]			攻击有20%概率冻结敌人3s，计时结束后对目标半径3m范围内造成80%冰伤(冻结期间不会重复触发该效果)
97188		[772640]			攻击有30%概率冻结敌人3s，计时结束后对目标半径3m范围内造成100%冰伤(冻结期间不会重复触发该效果)
97189		[772641]			攻击有40%概率冻结敌人4s，计时结束后对目标半径3m范围内造成150%冰伤(冻结期间不会重复触发该效果)
97190		[772642]			攻击有50%概率冻结敌人5s，计时结束后对目标半径3m范围内造成200%冰伤(冻结期间不会重复触发该效果)
97191		[772633]			角色获得霸体，且攻击时有20%的概率回复2点能量
97192		[772634]			角色获得霸体，且攻击时有40%的概率回复4点能量
97193		[772635]			角色获得霸体，且攻击时有40%的概率回复6点能量
97194		[772636]			角色获得霸体，且攻击时有60%的概率回复8点能量
97195			[772657]		敌人死亡时，将留下攻击己方的炸弹，伤害范围为半径2M，炸弹伤害为10%总血量伤害
97196			[772658]		敌人死亡时，将留下攻击己方的炸弹，伤害范围为半径2M，炸弹伤害为30%总血量伤害
97197			[772659]		敌人死亡时，将留下攻击己方的炸弹，伤害范围为半径4M，炸弹伤害为30%总血量伤害
97198			[772660]		敌人死亡时，将留下攻击己方的炸弹，伤害范围为半径4M，炸弹伤害为60%总血量伤害
97199			[772685]		敌人每隔15S会有20%概率石化，石化持续5S
97200			[772686]		敌人每隔10S会有20%概率石化，石化持续5S
97201			[772687]		敌人每隔5S会有40%概率石化，石化持续5S
97202			[772688]		敌人每隔5S会有60%概率石化，石化持续5S
97203		[772711]			每隔30秒，将自动召唤1个激光击败敌人
97204		[772712]			每隔25秒，将自动召唤2个激光攻击敌人
97205		[772713]			每隔20秒，将自动召唤3个激光攻击敌人
97206		[772714]			每隔10秒，将自动召唤3个激光击败敌人
97207		[778101]			每隔20秒，获得可抵挡一次伤害的护盾
97208		[778102]			每隔20秒，获得可抵挡两次伤害的护盾
97209		[778103]			每隔20秒，获得可抵挡三次伤害的护盾
97210			[742937]		敌人死亡后有30%的概率随机掉落1个信号球
97211			[742938]		敌人死亡后有30%的概率随机掉落2个信号球
97212			[742939]		敌人死亡后有40%的概率随机掉落2个信号球
97213			[742940]		敌人死亡后有40%的概率随机掉落一组信号球
97214		[742972]			造成普攻伤害时，普攻额外伤害加成提高10%，持续10s，最高叠加到100%
97215		[742975]			造成普攻伤害时，普攻额外伤害加成提高10%，持续10s，最高叠加到150%
97216		[742978]			造成普攻伤害时，普攻额外伤害加成提高15%，持续10s，最高叠加到150%
97217		[742981]			造成普攻伤害时，普攻额外伤害加成提高20%，持续10s，最高叠加到200%
97218		[742941]			普通攻击将获得额外的1点必杀能量
97219		[742968]			普通攻击将获得额外的2点必杀能量（恢复能量值提升）
97220		[742968, 742969]			消球、普通攻击将获得额外的2点必杀能量
97221		[742968, 742969, 742970]			消球、普通攻击将获得额外的必杀能量。释放必杀后将返还X%点必杀能量
97222		[742945]			三消伤害提升30%
97223		[742984]			三消伤害提升50%
97224		[742984, 742944]			单消、双消都将视为三消，三消伤害提升50%
97225		[742988, 742944]			单消、双消都将视为三消，三消伤害提升70%
97226		[742949]			连续进行三次三消后，将触发超算效果，冷却10s
97227		[742953]			连续进行三次三消后，将触发超算效果，冷却8s
97228		[742954]			连续进行两次三消后，将触发超算效果，冷却8s
97229		[742955]			连续进行两次三消后，将触发超算效果，冷却6s
97230		[742921]			玩家触发三消后，将为玩家提供等于三消伤害的5%数值的生命恢复
97231		[742922]			玩家触发三消后，将为玩家提供等于三消伤害的5%数值的生命恢复，溢出的治疗量将转化为护盾
97232		[742923]			玩家触发三消后，将为玩家提供等于三消伤害的5%数值的生命恢复，溢出的治疗量将转化为护盾，玩家拥有该护盾时获得霸体效果
97233		[742924]			玩家触发三消后，将为玩家提供等于三消伤害的10%数值的生命恢复，溢出的治疗量将转化为护盾，玩家拥有该护盾时获得霸体效果
97234			[742956]		敌方死亡时有70%的概率自爆，对周围敌人造成最大生命值60%的伤害
97235			[742957]		敌方死亡时有70%的概率自爆，对周围敌人造成最大生命值80%的伤害
97236			[742958]		敌方死亡时必定自爆，对周围敌人造成最大生命值80%的伤害
97237			[742959]		敌方死亡时必定自爆，对周围敌人造成最大生命值100%的伤害
97238			[742914]		敌方死亡时有30%的概率使己方获得50%的伤害加成，效果持续5s，连续获得加成将增加生效时间
97239			[742915]		敌方死亡时有50%的概率使己方获得50%的伤害加成，效果持续5s，连续获得加成将增加生效时间
97240			[742916]		敌方死亡时有50%的概率使己方获得70%的伤害加成，效果持续5s，连续获得加成将增加生效时间
97241			[742917]		敌方死亡时有70%的概率使己方获得70%的伤害加成，效果持续5s，连续获得加成将增加生效时间
97242			[761814]		敌人的总生命值永久下降20%
97243			[761815]		敌人的总生命值永久下降25%
97244			[761816, 761800]		敌人的总生命值永久下降25%，同时获得全抗性减弱
97245			[761817, 761806]		敌人的总生命值永久下降30%，同时获得全抗性减弱（抗性减弱数值上升）
97246		[742910]			对敌方造成伤害时，有30%概率对该目标造成相当于该伤害值50%的额外伤害。造伤概率将随着积分上升而上升，当到达X积分时概率最大，概率最大为70%
97247		[742911]			对敌方造成伤害时，有30%概率对该目标造成相当于该伤害值70%的额外伤害。造伤概率将随着积分上升而上升，当到达X积分时概率最大，概率最大为70%
97248		[742912]			对敌方造成伤害时，有40%概率对该目标造成相当于该伤害值70%的额外伤害。造伤概率将随着积分上升而上升，当到达X积分时概率最大，概率最大为80%
97249		[742913]			对敌方造成伤害时，有50%概率对该目标造成相当于该伤害值70%的额外伤害。造伤概率将随着积分上升而上升，当到达X积分时概率最大，概率最大为90%
97250		[742963]			当加分计数值超过X时，本次加分将获得1.2倍加成
97251		[742964]			当加分计数值超过X时，本次加分将获得1.3倍加成
97252		[742965]			当加分计数值超过X时，本次加分将获得1.4倍加成
97253		[742966]			当加分计数值超过X时，本次加分将获得1.5倍加成
97254		[742928]	[742928]		战斗开场X秒内，敌方不会拥有任何词条效果
97255		[742929]	[742929]		战斗开场X秒内，敌方不会拥有任何词条效果（X生效时间上升）
97256		[742930]	[742930]		战斗开场X秒内，敌方不会拥有任何词条效果。当加分分值超过Y时，也将去除敌方身上拥有的词条效果。（X生效时间上升）
97257		[742931]	[742931]		战斗开场X秒内，敌方不会拥有任何词条效果。当加分分值超过Y时，也将去除敌方身上拥有的词条效果。（X生效时间上升，Y值需求下调）
97258		[761830]			杀戮无双关卡-自暴虫
97259			[761831]		杀戮无双关卡-刚体
97260			[761837]		杀戮无双关卡-隐身
97261			[761841]		杀戮无双关卡-不动
97262			[761844]		杀戮无双关卡-祝福
97263			[761848]		杀戮无双关卡-闪现-3
97264			[761850]		杀戮无双-畏冰
97265			[761849]		杀戮无双关卡-主宰
97266			[761851]		杀戮无双-持续护盾
97267			[761910]		杀戮无双-畏火
97268			[761912]		杀戮无双-畏暗
97269			[761853]		杀戮无双-统领
97270			[761911]		杀戮无双-畏雷
97271			[761856]		杀戮无双-闭环
97272			[761860]		杀戮无双-暴走
97273			[761913]		杀戮无双-畏物理
97274			[761863]		杀戮无双-遗计治疗
97275			[761866]		改造关卡Buff-攻击散失（挂怪物）
97276			[761871]		杀戮无双-统领
97277			[761874]		杀戮无双-散失（挂怪物）
97278			[761878]		杀戮无双-壁垒
97279			[761883]		杀戮无双-复苏
97280			[761885]		杀戮无双-复仇攻击（怪）
97281			[761889]		杀戮无双-暴走
97282			[760053]		杀戮无双-畏元素
97283			[761892]		杀戮无双-转移
97284			[761894]		杀戮无双-壁垒
97285			[761899]		杀戮无双-辐射
97286			[761901]		杀戮无双-复苏
97287			[761907]		杀戮无双-遗计治疗
97288			[761903]		杀戮无双-复仇攻击（怪）
97289			[761914]		杀戮无双-迅捷
97290			[761919]		杀戮无双-护盾
97291			[761923]		杀戮无双-入侵1
97292			[761927]		杀戮无双-入侵1
97293			[761931]		杀戮无双-电盾
97294			[761934]		杀戮无双-劣化
97295			[761937]		杀戮无双特效屏蔽
97296		[761945]			杀戮无双回音特化
98001		[470000]			【预设技能】球替换为8红
98002		[470003]			【预设技能】球替换为10红
98003		[470170]			【预设技能】球替换为12红
98004		[470173]			【预设技能】球替换为14红
98005		[470018]			【预设技能】超算且加闪避值20
98006		[470021]			【预设技能】超算且加闪避值40
98007		[470024]			【预设技能】超算且加闪避值60
98008		[470027]			【预设技能】超算且加闪避值80
98009		[470030]			【预设技能】霸体且加必杀值20
98010		[470034]			【预设技能】霸体且加必杀值40
98011		[470038]			【预设技能】霸体且加必杀值60
98012		[470042]			【预设技能】霸体且加必杀值80
98013		[470046]			石化面朝自身八米内目标持续6秒，易伤20
98014		[470050]			石化持续8秒，易伤25
98015		[470054]			石化持续10秒，易伤30
98016		[470058]			石化持续12秒，易伤35
98017		[470062]			5米内每秒选5个敌人造成200%伤害
98018		[470065]			5米内每秒选5个敌人造成240%伤害
98019		[470068]			5米内每秒选5个敌人造成280%伤害
98020		[470071]			5米内每秒选5个敌人造成320%伤害
98021		[470074]			0.5间隔20%增伤，持续10秒，上限18层
98022		[470077]			0.5间隔24%增伤，持续10秒，上限18层
98023		[470080]			0.5间隔38%增伤，持续10秒，上限18层
98024		[470083]			0.5间隔32%增伤，持续10秒，上限18层
98025		[470086]			消多少回多少随机球，持续10秒
98026		[470089]			消多少回多少随机球，持续14秒
98027		[470092]			消多少回多少随机球，持续18秒
98028		[470095]			消多少回多少随机球，持续22秒
98029		[470098]			普攻伤害增加150%，必暴击
98030		[470102]			普攻伤害增加200%，必暴击
98031		[470106]			普攻伤害增加250%，必暴击
98032		[470110]			普攻伤害增加300%，必暴击
98033		[470114]			扣5%血，无敌10s，每次攻击回复1点能量
98034		[470119]			扣10%血，无敌12s，每次攻击回复1点
98035		[470124]			扣15%血，无敌14s，每次攻击回复2点
98036		[470129]			扣20%血，无敌16s，每次攻击回复2点
98037		[470134]			吞球，红1加10攻，黄1加10盾，蓝1加10血，上限5层
98038		[470140]			吞球，红1加10攻，黄1加10盾，蓝1加10血，上限5层
98039		[470146]			吞球，红1加10攻，黄1加10盾，蓝1加10血，上限5层
98040		[470152]			吞球，红1加10攻，黄1加10盾，蓝1加10血，上限5层
98041		[470006]			【预设技能】球替换为8黄
98042		[470009]			【预设技能】球替换为10黄
98043		[470176]			【预设技能】球替换为12黄
98044		[470179]			【预设技能】球替换为14黄
98045		[470698]			变身为构解囚徒
98046		[470700]			配合98045控制怪物等级
98047		[470701]			配合98045控制怪物等级
98048		[470702]			配合98045控制怪物等级
98049		[470703]			配合98045控制怪物等级
98050		[775200]			重创被动
98051		[775184]			重创1
98052		[775185]			重创2
98053		[775186]			重创3
98054		[775187]			重创4
98055		[775131]			崩解被动
98056		[775135]			崩解全加
98057		[775136]			崩解1
98058		[775137]			崩解2
98059		[775138]			崩解3
98060		[775139]			崩解4
98061		[775199]			羁绊被动
98062		[775194]			羁绊1
98063		[775195]			羁绊2
98064		[775196]			羁绊3
98065		[775198]			羁绊4
98066		[775150]			荆棘被动
98067		[775158]			荆棘全加
98068		[775154]			荆棘1
98069		[775155]			荆棘2
98070		[775156]			荆棘3
98071		[775157]			荆棘4
98072		[775170]			机械被动
98073		[775172]			机械全加
98074		[775166]			机械1
98075		[775167]			机械2
98076		[775168]			机械3
98077		[775169]			机械4
98078		[775201]			灰鸦11
98079		[775202]			灰鸦12
98080		[775203]			灰鸦13
98081		[775204]			灰鸦14
98082		[775205]			灰鸦21
98083		[775206]			灰鸦22
98084		[775207]			灰鸦23
98085		[775208]			灰鸦24
98086		[775209]			灰鸦31
98087		[775210]			灰鸦32
98088		[775211]			灰鸦33
98089		[775212]			灰鸦34
98090		[775213]			阿迪莱1
98091		[775214]			阿迪莱2
98092		[775215]			阿迪莱3
98093		[775216]			阿迪莱4
98094		[775217]			三头犬1
98095		[775218]			三头犬2
98096		[775219]			三头犬3
98097		[775220]			三头犬4
98098		[775221]			七十1
98099		[775222]			七十2
98100		[775223]			七十3
98101		[775224]			七十4
98102		[775225]			比安卡1
98103		[775226]			比安卡2
98104		[775227]			比安卡3
98105		[775228]			比安卡4
98106		[775229]			渡边1
98107		[775230]			渡边2
98108		[775231]			渡边3
98109		[775232]			渡边4
98110		[775233]			卡列1
98111		[775234]			卡列2
98112		[775235]			卡列3
98113		[775236]			卡列4
98114		[775237]			突击鹰1
98115		[775238]			突击鹰2
98116		[775239]			突击鹰3
98117		[775240]			突击鹰4
98118		[775241]			增幅1
98119		[775242]			增幅2
98120		[775243]			增幅3
98121		[775244]			增幅4
98122		[775245]			进攻1
98123		[775246]			进攻2
98124		[775247]			进攻3
98125		[775248]			进攻4
98126		[775249]			装甲1
98127		[775250]			装甲2
98128		[775251]			装甲3
98129		[775252]			装甲4
98130		[775253]			辅助1
98131		[775254]			辅助2
98132		[775255]			辅助3
98133		[775256]			辅助4
98134		[909860]			重能1释放黄球后格挡待机时间无限
98135		[909861]			重能2格挡期间5秒内受击不会反击（免疫受击，主动操作依旧会打断格挡）
98136		[909865]			重能3格挡期间将受到伤害X30反弹给攻击者
98137		[909863]			重能4格挡期间每秒恢复600生命
