Id	Name	Type	Content	Quality	Announcer	MemberCount	NeedTime	RecommendAttrib	PreQuestId	FinishReward	ExtraReward	FilePoolId	IsRepeatedly	Condition
4035	医疗援助	3	受流沙不断移动的影响，部分绿洲据点遭到破坏，大量据点居民被困流沙危险区域，有伤亡情况。遗忘者人手不足，无力救援所有居民，请求空中花园协助展开抢险及救援行动。	4	8	4	21600	[3, 4, 6, 7]		8506	8541	80301	1	
5001	>>>系统激活	1	委托系统须知——\n本系统由空中花园主持开发。当判定部分任务不需要指挥官亲临战场，构造体可以独立执行时，委托系统会自动从任务作战中心拦截任务，进行下发。\n>>>请接取此委托以激活系统。	1	1	1	2	[1]		8501	8512	5001		
5002	帮我整理文档	7	阿…阿西莫夫先生说：叫几个保密性质高的，来帮我整理一下文档，分一下之前实验用特殊资料的类别，虽然重要的东西都记在脑子里，但…但是这些普通的涉密资料也要保管好……\n阿西莫夫先生，是…是这样下委托的吧？	2	6	2	18000	[7]	[5001]	8503	8524	5002		
5003	艺术品归档整理	7	艺术协会的仓库再度堆积起了一批从地面清理出来的艺术品，但艺术协会大部分人都仍然在地面探察新的遗迹。\n请求指挥官能派遣一些保密性质较高的人员来协助进行资料编号整理的工作——要知道，艺术品中，有时候藏着的可不只有艺术。\n——艾伦	2	5	2	18000	[7]	[5001]	8503	8524	5003		[31001, 31101]
5004	请把队长抓回来	5	要修引擎要爆废弃建筑物的时候倒是冲在最前面…\n麻烦把她从引擎维修现场抓回来，顺带看一下那个坏掉的引擎。真给她维修的话，我可不想和她一起变成空中花园爆炸后遗失出去漂浮在太空中的废弃物。\n——布偶熊	3	3	3	21600	[5]	[5001]	8505	8536			[31002, 31102]
5005	哟，帮个忙？	4	这批物资要送到遗忘者那边，但是遗忘者没有人手，支援部队也很捉襟见肘。\n渡边看起来有点不太好意思麻烦空中花园，但毕竟人类也就剩那么一些，有余力能帮忙还是应该帮一下。\n那，这个委托就由我来发布吧。辛苦咯，接到这个委托的指挥官。\n——布丽姬特	3	4	3	21600	[4]	[5001]	8505	8536			[31002, 31103]
5006	清理019号保育区	1	019号保育区周围出现一批新的感染体，请前往019保育区清理感染体。\n请注意，这次感染体的行动轨迹和出现源头尚不明确，请派遣具有探查能力的构造体一同前往。\n最近大部分小队好像都在任务，所以优先发布在委托这边，请接到这个任务的指挥官认真对待哦。\n——赛利卡	2	1	2	18000	[1, 6]	[5001]	8503	8524	5006		[31001]
5007	来几个擅长伪装的	2	怀疑保育区内部有叛逃构造体，初步侦查阶段，需要几个擅长伪装的来帮忙。\n需要伪装成普通构造体和平民，所以能接受一定程度上简单修改涂装的来。\n还有……还有什么来的？\n算了，剩下的来了再解释。\n——清理部队队员	2	2	2	18000	[6]	[5001]	8503	8524	5007		[31001]
5008	嗯…要这个，还有…	7	咳……要怎么写来着？请派遣两位擅长交流沟通的构造体支援，保育区急需一批建设物资，准备从旁边阿迪莱商业联盟交换。\n我看看……特殊型号的零件，扳手，还有……\n……总觉得就算这样说你们也不会记得，我开张单子给你们。\n标*的这一批是保育区现在急需的，尽量从阿迪莱那边换回来，如果有差价可以打申请单子，工程部队报销。另外，这一批如果实在换不到，就等空中花园调配。\n——卡列尼娜	3	3	3	21600	[7]	[5001]	8505	8536	5008		[31002]
5009	道路堵塞？！	5	[一段嘈杂的录音，听起来是布丽姬特在说话]\n\n怎么回事？这段路之前不是已经修好了吗！……泥石流和地震？那要我这批支援保育区的货物怎么办？！……\n接收到这条委托的指挥官，请尽快派出能够紧急支援或运输的构造体，这一批支援物资中有保育区急需的药品，时间不多了，请尽快派出支援——	3	4	3	21600	[4, 5]	[5001]	8505	8536	5009		[31003]
5010	维护康斯塔雷耶	6	嗨嗨~这里是艺术协会的艾拉~\n康斯塔雷耶已经正式被空中花园接管啦，现在正由艺术协会在负责初步检查。因为部分陈设老旧，需要进行维护，艺术协会虽然有擅长这方面的同事，但康斯塔雷耶太大啦，还是需要一些支援才行。\n所以，有擅长这方面技能的构造体有时间吗？艺术协会准备了很丰厚的报酬喔~	3	5	3	21600	[5, 6]	[5001]	8505	8536	5010		[31002, 31213]
5011	带回紧急样本	4	[一段简短的录音，似乎是阿西莫夫的声音]\n\n那批样本和采样报告三·天·前就应该放在我桌子上了，谁能告诉我为什么那批样本没有送到？\n……泥石流？地震？我不想听到任何借口，我只想看到那批样本和采样报告。委托系统呢？为什么不用委托系统请构造体把它们带上来？——\n（录音的结尾传来一些细小的杂音，似乎慌乱中有什么东西被撞到了地上……）	3	6	3	21600	[4]	[5001]	8505	8536	5011		[31003]
5012	保育区支援请求	3	通向那个保育区的大路被泥石流封锁了，我们只收到地面发来的一段不连贯的通讯，请求尽快派遣构造体协同生命之星一同落地进行支援。\n[模糊不清的录音]\n——是泥石流！需要尽快……药品……有人病……危险……	3	7	3	21600	[1, 3, 4]	[5001]	8505	8536	5012		[31003]
5013	新的医疗区	4	申请下来一批新的医疗物资，我们准备在一些靠近危险区域的保育区边缘建立一部分医疗区，方便及时治疗，有时间的话，就去帮我们把物资带到指定位置吧。\n另外，我特别申请到了一批大型载具……就放在新建医疗区的地下吧，每个医疗区都放上几辆。\n有些事情，经历过一次就够了。	3	7	3	21600	[1, 4, 5]	[5001]	8505	8536	5013		[31003]
5014	路断了	5	诶……喂？喂？是这样使用的吗？找到的这个终端还真是古早……\n咳嗯，是这样的，之前有一批不知道是哪里的载具从我们修好的路上通过，因为运载物资太多，导致我们的路面损毁，我们最近也没有什么人手。首领说可以从这里给你们下单，请你们来帮忙……\n总之，我们会提供合理的报酬，以上。	3	8	3	21600	[5]	[5001]	8505	8536	5014		[31003]
5015	……你好？我是……	4	……你好？我是北极航线联合开毛皮店的莉夏，我想委托你们帮我运输一批毛皮过来，最近山林不安全，多了很多奇怪的生物，我会为此支付合理的报酬，还可以提供一些很好的毛皮。\n是罗塞塔告诉了我这个途经，如果可以的话……能派罗塞塔过来吗？我已经很久没有见到她了……	3	9	3	21600	[2, 4]	[5001]	8505	8536	5015		[31004]
5016	阿迪莱交流申请	7	奥赛兰姆列车重建正在进行，也就是说，最近一段时间，我们会固定在同一个位置休整。\n借此机会，我希望能够以阿迪莱商业联盟四代首领的身份，请求空中花园派遣一批构造体和阿迪莱商业联名进行友好交流活动。\n奥赛兰姆在轨道上奔驰太久，是时候该停下来休憩一下了。我希望车上的年轻人们，都能有一个走出去看看这个世界的机会。\n我们会为此支付相应的“报酬”，贸易清单如下。\n——阿迪莱·贾米拉	3	10	3	21600	[1, 7]	[5001]	8505	8536	5016		[31004]
5017	定居点安置	5	夜航船计划围绕九龙城，在海岸附近建立部分聚居点，安置从夜航船上返航的居民。由于九龙城也损毁严重，无法抽出人手，现请求空中花园能够帮个忙，物资什么的我们会从附近借调，只要能借人过来帮我们找一些适合安置的地方就可以……\n喂，这个委托是这样下的吧，蒲牢，蒲牢？你站那么远干什么？过来帮我看看！\n就算你站那么远，这用的也是你的终端啊！	3	11	3	21600	[1, 5, 6]	[5001]	8505	8536	5017		[31004, 31208]
5018	定期联合勘探申请	6	联合勘探正式申请\n他们说什么必须补一份申请报告，才能派更多人下来联合勘探这个遗迹，应该就是这个吧？\n联合共同体九龙，申请和空中花园共同勘探临近空中花园保育区和九龙城市边界的一处黄金时代遗址，勘探过后获取的信息和资料共同分享，以上。\n这样应该就可以了吧？快快快，时间不等人！	3	12	3	21600	[6]	[5001]	8505	8536	5018		[31004]
5019	给他们点颜色看看！	7	现在的小崽子们，真是不知天高地厚，前几天居然被我发现了几个偷偷摸摸藏在运输机里的，硬说要下地去实地演练，支援落地的构造体！\n我就让他们看看真正的！能打败感染体的！构造体！长什么样！\n来几个能打的，教训教训他们……\n算了，还是收着点力气，让他们知道痛就好了，不要真打残了。\n小崽子们啊……有朝气也是好事。	3	13	3	21600	[1, 7]	[5001]	8505	8536	5019		[31004]
5020	唔…好多文件啊…	7	啊……怎么又有这么多报告发上来啊，调令文件，自省报告，监控观察报告，异合生物异动报告……\n每次到了月末这些报告就都会堆上来，我要怎么看得完啊！\n唉……有人能帮我把这些报告分类一下吗？酬劳是一礼拜的赛利卡手冲咖啡哦。\n——赛利卡	3	1	3	21600	[7]	[5001]	8505	8536	5020		[31005]
5021	救命！能帮个忙吗！	7	也，也不是要帮我们去出任务啦，不要害怕不要害怕。\n我们之前做了一部分调访报告……这不是上面说清理部队戾气太重，要“用更和平柔软的手段”去寻找目标的线索吗……\n总之，有一些调访报告要整理，但清理部队基本没有这样的人才……咳，能帮忙把这些调访报告整理出来吗？感激不尽！\n——清理部队队员	3	2	3	21600	[7]	[5001]	8505	8536	5021		[31005, 31217]
5022	有能来帮忙驻守的吗	5	保育区重建真是一个巨大的工程……不只要盯着那群讨人厌的感染体不要过来侵扰重建过程，还要盯着卡列尼娜不要动不动又跑去跟别人说你住的地方立刻就要拆掉……\n有能来帮帮忙的吗？不然总有一天我会想要把卡列尼娜和她的重破锤连同这个保育区一起丢上天。\n——布偶熊	3	3	3	21600	[1, 3, 5, 6]	[5001]	8505	8536	5022		[31005]
5023	嘿，早啊！~	7	哟，被骗进来了吗？哈哈，有时间的话，麻烦帮我整理一下近期支援部队的文档分类可以吗？\n我也不知道怎么会突然堆了这么多哈哈哈哈哈，赛利卡催着我要提交，我们最近大部分人都在地面跑任务，所以，麻烦指挥官啦！\n等我任务出完回来，一定会酬谢你的！~\n——布丽姬特	3	4	3	21600	[7]	[5001]	8505	8536	5023		[31005, 31213]
5024	康斯塔雷耶重建协助	5	你好，接到这个委托的指挥官。\n艾拉带领的艺术协会部分成员已经联合工程部队进驻康斯塔雷耶，计划分阶段重建这座奇妙的城市，但有些同事仍有其他任务，也许无法按照原有计划验收工期。\n如果有时间的话，可以委派部分构造体前往协助康斯塔雷耶的重建进程吗？我们准备好了丰厚的报酬，期待您的消息。\n——艾伦	3	5	3	21600	[1, 5, 6]	[5001]	8505	8536	5024		[31005]
5025	废旧研究所探查	6	阿……阿西莫夫先生说，地面保育区那边找到了一个废旧的研究所，想，想请几位有时间的，帮忙带回来一份他想要的资料，因为，因为……呜……因为“保育区的那群笨蛋一定分不清楚哪些资料是我想要的，哪些资料是废品。不要再把研究所的外语食谱当成重要资料送上来了，我对他们三餐吃了什么一点都不感兴趣。”\n呜呜……阿西莫夫先生，这样说真的好吗……\n——洛莎	3	6	3	21600	[6]	[5001]	8505	8536	5025		[31005]
5026	紧急，我们发现……	7	绿洲那边好像有些什么事情瞒着我们，我们不知道这到底是怎么回事……最近其他人看起来都怪怪的，渡边首领曾经说过，空中花园的灰鸦指挥官是值得信任的，所以……\n但愿这个老古董终端还能把这条消息发送到空中花园，这一切到底是怎么回——\n——匿名成员	4	8	4	21600	[7]	[5001]	8506	8541	5026		[31006, 31217]
5027	大量感染体出现	1	异合生物意外袭击北极航线联合，一些外围据点已经被异合生物蚕食，守林人已经尽力，但仍然无法与他们对抗，请求空中花园派遣构造体，和守林人一同守护港口及城市。\n——狄安娜	4	9	4	21600	[1, 2, 3, 7]	[5001]	8506	8541	5027		[31006]
5028	重要委托哦！	5	还是头一次用这种空中花园的终端呢，真新鲜！\n我要委托大生意哦，咳嗯！我们已经积累了一部分资金，准备重建铁轨旁之前被损毁的一些据点，虽然材料已经准备好了一部分，但还是缺少人手。\n请有闲暇的朋友下来帮个忙吧，酬金一定不会少的！\n——常羽	4	10	4	21600	[1, 4, 5, 7]	[5001]	8506	8541	5028		[31006]
5029	夜航船共建邀请	7	夜航船地面据点重建在即，夜航船已备好水酒，诚邀空中花园前来参加奠基仪式，共商重建事宜。\n——嘲风	4	11	4	21600	[5, 6, 7]	[5001]	8506	8541	5029		[31006, 31217]
5030	九龙城通商事宜	4	九龙城计划与空中花园周边据点开展贸易，但有部分路线被感染体占据，无法通行，请求空中花园协力九龙城，打通交流渠道，方便贸易进行。\n——白圭	4	12	4	21600	[1, 4, 5, 6]	[5001]	8506	8541	5030		[31006]
5031	呜哇哇哇！	7	啊啊啊啊！捡到的这个终端居然可以发布委托！我，我现在就要委托灰鸦指挥官到学校开讲座！我来看看这个按钮……发布成功！嘿嘿嘿嘿，终于可以见到我的偶像了！\n——法奥斯学生A	4	13	4	21600	[7]	[5001]	8506	8541	5031		[31006]
